eta,mi,S1
-0.12068285,1.7871617,0.82025236
0.6833593,2.0296721,0.51777565
-2.792217,0.0016293497,0.02674493
1.2167283,4.6507645,0.9872688
-1.8555162,0.018928833,0.122710474
-0.5400815,0.02553295,0.046253487
-2.1256773,1.0596086,0.45697418
-0.2090518,0.5046533,0.6401496
0.51953936,0.0018699013,0.0012989541
0.17509755,0.38861653,0.35140067
-1.2671307,1.0505011,0.16683578
-0.68973947,1.2772735,0.51465267
0.9538006,2.1085544,0.4442748
0.8028172,0.15796298,0.085227676
-1.4094546,0.009689653,0.040596373
0.5518833,1.7328153,0.4221354
0.058285825,1.8547918,0.7523311
0.13022824,0.23914406,0.22839585
1.0937637,3.932221,0.9154174
-3.4013615,0.002339716,0.070420496
-2.9620795,0.04507046,0.87215525
0.44358313,1.8876901,0.55387455
-1.0098004,0.008670315,0.024646135
0.48463112,2.6255937,0.9217801
0.9198928,3.3449214,0.8760547
-2.044006,0.0005287955,0.0041357456
0.60341847,1.5191407,0.29156014
0.25442457,1.9963204,0.7270075
0.8775568,2.3358407,0.558554
1.1559378,0.37993515,0.15181476
-0.3696173,0.0012389775,0.0019166847
0.53041524,1.3680212,0.22284558
-2.5000968,0.00030662268,0.0037663379
0.6146226,2.0394654,0.5532939
0.6946363,2.6267295,0.7720348
0.65486073,2.7734914,0.86014336
-2.7804947,0.0026483147,0.04296282
-0.9463418,0.0035614225,0.009527926
1.081614,2.5070329,0.52903
-3.662726,0.012997018,0.5071009
0.70488864,2.6617293,0.7797821
0.8381781,1.4479473,0.2083613
0.5363589,1.1266885,0.077979796
-4.4644313,0.00031962563,0.027797466
0.46216995,2.6680214,0.96109265
0.86956793,3.5377524,0.9731527
-1.7813653,0.076044664,0.4556892
-0.21957375,1.722332,0.8291274
1.2840385,4.863409,0.97971016
0.5931021,2.8651557,0.946137
-0.5850274,0.00070614746,0.0013380833
0.7982127,2.3866754,0.61586773
1.159313,4.224738,0.9378587
-1.0734253,0.0006685056,0.00202235
0.3415799,0.11161384,0.08948066
1.4723865,5.464054,0.95082355
-3.311744,0.00042400742,0.01167367
0.9862279,3.371318,0.8388016
-3.397171,0.00053157145,0.01593537
1.1876489,3.6609278,0.7887525
0.46778575,1.7665906,0.47323984
0.12952778,0.0023741997,0.0023226272
