eta,mi,S1
-0.1423904,0.00078414456,0.0009824771
-2.1574435,0.00014827822,0.0012972668
0.47167692,1.9671264,0.5850661
0.2357704,0.00085412164,0.00076007086
1.082925,0.58576554,0.24270226
0.29335248,0.00039621684,0.00033509076
-1.6842451,0.0002963853,0.0016266274
0.40543592,1.157819,0.10844201
-0.42450365,1.2262517,0.3282716
-0.58463144,0.00046473648,0.0008803231
-0.09050171,1.9769418,0.97451854
-3.0671225,0.0007979463,0.01721831
-3.2912836,0.000937353,0.025284924
1.1688809,4.5244412,0.9966228
0.31245762,0.00053634867,0.00044602863
-1.980135,0.0061073992,0.044823654
0.5172271,2.178414,0.673633
1.1236182,3.500543,0.7873641
0.29980302,2.3496149,0.9190389
0.6290882,1.9429431,0.4998401
-0.3446198,1.6471051,0.8397529
0.75995314,1.9503093,0.9264763
1.0537333,3.8266835,0.9171727
-0.24830635,0.0055909823,0.007721596
1.0931659,3.9046333,0.9090223
0.7843785,0.015556808,0.008642414
0.9678912,2.9143443,0.7113499
-0.9135394,0.026702596,0.06905893
0.5275098,1.7255142,0.4269812
1.4939405,0.015015687,0.0048650797
-0.20862965,0.66125864,0.8261586
1.0236123,2.7349262,0.6257142
0.11591488,1.8330672,0.6973641
0.80334085,3.206865,0.9154236
-0.3507814,1.731643,0.9480569
1.4210986,4.9444094,0.9012154
0.68222785,1.8626434,0.4403079
-0.7919291,0.0010378431,0.0023947312
-2.8177595,0.0001026322,0.0017282371
-0.41592124,0.026081847,0.042032547
-2.8650613,0.018922593,0.3333554
0.65944946,1.9226694,0.47758803
1.4353849,5.2266717,0.9382978
0.30460143,1.2235882,0.9129469
-0.5877419,0.005491711,0.010428082
-2.877958,0.0025221815,0.04508002
0.47839713,0.0009375786,0.00067478337
-0.31823057,1.2054696,0.2704078
0.17346793,2.1509843,0.8911062
0.55162024,1.8923962,0.507277
-3.0462189,0.005150727,0.10880795
0.40920782,1.157619,0.7928437
-0.57033086,0.09004268,0.16677476
0.023193462,0.007192293,0.0077410606
0.8769047,3.5908058,0.98377824
0.7472024,3.088386,0.9153809
-0.03394459,2.0558405,0.99360955
-0.4469089,0.33930972,0.5459089
-0.32674196,1.2979321,0.3919826
0.3059183,0.015963392,0.0133312475
0.025526699,1.6414692,0.5922352
0.5248903,0.38276547,0.254969
-3.082312,0.00060591777,0.013274108
0.17249942,1.8737721,0.69287825
-0.96719575,0.014960019,0.04078817
0.50667125,2.310985,0.74808323
1.1962545,2.547176,0.49610105
-2.9072769,0.00031801892,0.0058535496
-2.2377567,0.06638365,0.6246581
0.7669238,1.5247853,0.25701958
1.0199859,1.4437383,0.17860062
-2.8414574,0.00015976281,0.0027543833
-0.18744421,1.5386503,0.6097464
0.70344675,0.002830848,0.0016835288
1.0310396,2.8625107,0.66121584
1.0849414,0.18039586,0.07759938
0.25950238,1.2921836,0.22548264
-0.44821292,1.5162784,0.7466543
0.42502093,0.038417757,0.028846797
0.1882482,1.4744554,0.38388634
-0.13714619,1.0046179,0.0052328855
-2.4549649,0.0065837298,0.077281766
-0.35385758,0.07759156,0.11738162
0.3663926,1.8886857,0.59294415
-0.48081714,1.5918936,0.8769191
-0.4268958,0.0010528753,0.0017186304
0.54940444,1.9675653,0.54758483
0.60607743,2.0991025,0.58637047
0.29856113,1.1905198,0.8956515
-2.050603,1.0783178,0.5565493
1.0627904,3.4680734,0.8163773
0.4709374,2.3980637,0.8168861
-2.6729422,0.00015575337,0.0022712406
-3.352033,0.0012961904,0.03714496
-0.21987237,0.14559245,0.19314341
0.98110664,3.4969184,0.8785535
-0.4674334,0.0032828676,0.0055655646
0.051295653,1.717282,0.64276385
0.25548154,0.1603558,0.1380248
-3.2554069,0.00077628903,0.020205362
0.18848942,0.062443756,0.05760119
0.665543,1.6307917,0.33299756
-0.2502498,0.007728627,0.0106908325
0.37889525,1.6623534,0.44561666
-0.071100056,1.3209906,0.33278266
-2.4428358,0.00030000458,0.0034816358
-0.12732922,0.00014924564,0.00018443364
-1.8917327,3.2241376e-05,0.00021701108
-0.025136165,0.000635581,0.0007152722
0.33982706,0.020099556,0.016285963
0.30756998,1.6324769,0.45412907
-0.32732677,1.7570055,0.9576075
-4.0160246,1.5294654e-05,0.0008500773
1.3894978,4.4505053,0.8338241
0.48631403,0.012067855,0.008616774
0.23747638,2.3325453,0.96015894
1.1120263,2.130258,0.39962748
0.8373006,2.4983463,0.6388325
0.6631181,1.290711,0.15841135
0.03917855,2.053483,0.9278275
0.46766347,2.3360095,0.7867724
-0.028222725,1.9835906,0.92635393
1.5427289,0.00093359064,0.0002929305
-2.7901256,0.0018714378,0.03065415
0.88349307,3.1414173,0.8364911
0.15619533,0.72667277,0.6472253
1.04217,3.4516003,0.82504034
-2.37609,0.00021159662,0.0022984704
0.1817553,0.007240522,0.0067563467
0.36685318,0.00045899933,0.0003639291
0.39295465,1.2753198,0.18925336
0.613937,2.187068,0.6245693
-0.249522,1.6942867,0.8213278
0.4306767,2.1456423,0.70750535
0.8413632,2.0271387,0.4535878
0.22352377,0.33371606,0.29054692
-3.2411542,0.009196804,0.23580262
1.0667107,3.5359814,0.8320988
-1.8942101,0.001501581,0.01013009
-3.9088984,1.0154037,0.6984103
-0.3234378,1.1289825,0.17174566
0.25897032,1.7298982,0.5425101
0.038515456,1.5864327,0.53762764
0.120261,1.6199424,0.5264142
0.86137223,0.2932152,0.14886399
0.6185074,0.14782825,0.09304947
0.8492114,0.001463561,0.0007722844
0.9071917,2.3801312,0.56147355
0.27531222,2.3519845,0.9405838
-2.8448899,0.0004818294,0.008335086
-0.15601632,1.310988,0.34886035
0.96011317,1.3974823,0.5920375
0.6312772,2.494638,0.75590795
0.14468604,2.024234,0.8222453
0.68010926,2.107901,0.555018
0.8138956,3.1096065,0.8740059
0.45923895,2.2487001,0.7460008
-0.34822613,1.6826565,0.8861722
0.43650013,1.7522106,0.4776724
-0.11584716,0.26525936,0.3159838
-0.57702386,0.0010552555,0.0019844424
0.7112639,3.2324777,0.997127
-0.63409364,1.580543,0.99525493
-0.37832457,0.0031194005,0.0048642377
-2.8362665,1.0430701,0.66895944
-0.041848056,0.0008319611,0.0009506329
1.3543043,3.3965619,0.64066666
-0.43162942,1.5151104,0.7335228
-0.0048070922,1.8441267,0.78740025
-2.3901541,0.00051757356,0.005700869
-2.075851,5.187505e-05,0.00041869833
-0.7533056,1.2587316,0.51108915
0.912183,0.64069325,0.30204937
0.18167023,0.00026873752,0.00025096085
0.88210684,2.0645862,0.45347714
0.71153486,1.4394102,0.7435115
0.38502207,0.52957046,0.39250952
0.33314863,2.414623,0.9305729
-0.005658131,1.7433696,0.6999052
-0.18812975,0.023703115,0.030906478
0.71468663,2.299918,0.62285024
0.20732835,1.1600506,0.13090144
0.6950735,2.3024735,0.63420635
-1.017978,1.3625267,0.9149187
-2.3298013,8.165668e-05,0.0008472547
-0.2554125,1.1958226,0.24329439
-1.9608195,8.5404165e-05,0.00061534427
0.501739,1.1309441,0.0829921
-0.22940017,1.864991,0.98990715
-0.44173247,0.00025805968,0.0004271808
0.76295817,2.3983717,0.6386944
0.9282203,2.3690655,0.5481729
0.29749206,0.8468626,0.6579164
0.37498948,0.010217507,0.008035996
-0.015223488,1.8971751,0.84108645
0.9984457,2.2662344,0.4835792
-0.46113047,0.08708039,0.1455385
1.2656989,1.4504253,0.4839327
0.12016167,1.5689878,0.48531824
0.41162664,2.4689136,0.89835554
-0.7045938,1.3528092,0.6597685
-0.060416922,1.7402539,0.73284763
-3.3991704,7.825124e-05,0.0023505907
0.40049884,2.4545898,0.8992775
-1.8679833,0.0013924321,0.009154279
-0.8708216,0.001451151,0.0036112058
0.89312875,2.1382217,0.47764763
-1.0052091,0.0001413182,0.00040027508
-0.41141665,0.09377471,0.14947747
-0.45475775,1.4322293,0.6335827
0.15735778,1.2016214,0.17178506
-0.33894885,1.1796598,0.2416115
0.91098964,0.50563973,0.24167486
-3.1487947,0.0005758713,0.013479192
-0.9578762,1.3785511,0.90030634
0.79547703,2.589565,0.69615746
0.120661296,1.0832818,0.07411488
-1.3471917,0.00012484056,0.0004926906
0.15299135,0.0009737036,0.00093285076
-0.4598363,1.3107755,0.46264577
-1.8267927,0.14063184,0.8756248
0.536407,2.380155,0.7634748
-0.58477354,1.4286565,0.71060497
1.3612978,2.8872945,0.7983239
0.04695976,2.1528878,1.0
0.93792784,3.5884566,0.9361374
-2.4210582,0.0008438142,0.0095830355
0.35128236,0.19169624,0.15118442
-2.0099034,0.0006760611,0.0051124315
0.004473988,0.073816545,0.08027612
0.59739774,0.033379648,0.021632627
-1.634517,0.1318171,0.68004143
-0.4275428,0.182244,0.29236463
-2.224712,0.0005628359,0.005262679
-1.8857304,0.0018650604,0.012477103
-1.3235192,0.016227348,0.0624813
-2.4865217,0.00027337493,0.0033130485
0.003043428,1.6487458,0.61092323
0.4048739,0.00040671407,0.00031196178
-0.42588902,0.003789803,0.0061786408
-0.44857275,1.3253696,0.47865123
0.5797301,1.7675866,0.43054295
0.012133565,0.022154938,0.024049958
0.55880356,1.0471324,0.6368719
1.2706128,4.552781,0.9293069
-2.9386134,0.00033584607,0.00637738
-2.0734081,0.0008226889,0.0066236453
-0.045501288,1.9187744,0.8838349
1.151973,4.223707,0.94286466
0.24818324,2.3171954,0.94130003
