index,theta,m,y,c,t,delta
6162,2.5,5,0.40898450145508775,2.3047944593086815,0.40898450145508775,1
6238,2.0,2,0.4751843324615113,4.422957317125579,0.4751843324615113,1
577,0.1,0,inf,2.6244820414990473,2.6244820414990473,0
8931,2.0,2,3.2008818002050115,1.8611480816398167,1.8611480816398167,0
1069,0.1,0,inf,2.3452854512825523,2.3452854512825523,0
6989,1.5,1,0.1369240822575736,0.07111810142689881,0.07111810142689881,0
1049,0.1,0,inf,0.4211900860341288,0.4211900860341288,0
6205,0.1,0,inf,0.16915141295303837,0.16915141295303837,0
2729,0.8,0,inf,1.1488467958118296,1.1488467958118296,0
4462,2.0,1,0.28692751791638477,3.380757879418242,0.28692751791638477,1
4156,2.5,3,0.46510169184456146,2.3998442284189014,0.46510169184456146,1
310,0.8,1,0.7259501098848441,2.590569534630758,0.7259501098848441,1
4618,2.0,2,0.5424305428265365,4.2874778450364515,0.5424305428265365,1
300,2.0,0,inf,3.6783047932910207,3.6783047932910207,0
9348,2.5,2,0.3188161045794806,3.4618577252503706,0.3188161045794806,1
4508,0.1,0,inf,1.8679278875759655,1.8679278875759655,0
9662,0.1,0,inf,3.327364272366936,3.327364272366936,0
3388,2.5,1,0.30033794700150906,3.9498717573793245,0.30033794700150906,1
6284,1.5,0,inf,1.9403870180066713,1.9403870180066713,0
1723,1.5,3,0.1175771522801973,1.9143978826040904,0.1175771522801973,1
1578,2.0,2,0.3478355668714964,1.622380376320909,0.3478355668714964,1
214,0.8,1,0.2655687687388998,1.3612887778936382,0.2655687687388998,1
7944,2.5,0,inf,0.9082680688522388,0.9082680688522388,0
9409,0.1,0,inf,0.6875954515030881,0.6875954515030881,0
5625,0.8,0,inf,1.2691868996746907,1.2691868996746907,0
5471,1.5,0,inf,3.727133046373173,3.727133046373173,0
1182,0.8,1,0.6364000842763925,1.0647367488086346,0.6364000842763925,1
8200,0.8,0,inf,0.8793974434265608,0.8793974434265608,0
7391,2.0,2,0.23497766547422042,3.193939360951332,0.23497766547422042,1
1201,0.8,0,inf,4.4069516511244045,4.4069516511244045,0
8024,1.5,1,0.30562655375060205,0.6441693968589128,0.30562655375060205,1
6424,2.5,3,0.7020961922785423,3.99748831151002,0.7020961922785423,1
9116,0.1,0,inf,3.6105144679132892,3.6105144679132892,0
6942,1.5,1,0.11999959712298214,1.3532867670986581,0.11999959712298214,1
8513,2.0,3,0.8416052780491674,2.2025159419597853,0.8416052780491674,1
8834,0.1,0,inf,1.7916278478951004,1.7916278478951004,0
5745,0.1,0,inf,0.8829602482046853,0.8829602482046853,0
4795,0.1,0,inf,3.9727826976887703,3.9727826976887703,0
391,2.5,4,0.06224526077945017,0.25271884003827116,0.06224526077945017,1
