index,theta,m,y,c,t,delta
42093,0.8,1,0.23276030868910205,6.72086509836499,0.23276030868910205,1
45265,0.1,0,inf,5.332391341135566,5.332391341135566,0
50640,2.0,2,0.8418664155042977,6.596920501913015,0.8418664155042977,1
35534,0.8,5,1.4899500309719054,7.415878311531529,1.4899500309719054,1
55136,2.0,1,1.035178257134124,1.0013107948283386,1.0013107948283386,0
47679,0.1,0,inf,6.840259922553613,6.840259922553613,0
17843,0.8,0,inf,1.5174632014055605,1.5174632014055605,0
38643,2.0,1,0.7417292792141136,1.29257491337188,0.7417292792141136,1
2568,2.5,3,0.3320365448871925,5.920596365247293,0.3320365448871925,1
42683,0.1,0,inf,6.604168274355295,6.604168274355295,0
11598,1.5,2,0.1663367987510621,5.914266383350934,0.1663367987510621,1
12138,1.5,0,inf,6.971496169694276,6.971496169694276,0
9913,1.5,1,0.2553892693859123,4.515304729279323,0.2553892693859123,1
43810,0.8,0,inf,7.436459983813731,7.436459983813731,0
45092,2.0,1,4.118537681639605,4.525388589823319,4.118537681639605,1
39193,0.1,0,inf,4.628158188454201,4.628158188454201,0
59182,2.0,5,0.1234664765311119,1.2105500520338943,0.1234664765311119,1
52691,2.5,5,0.02594723767520747,1.0552168941075029,0.02594723767520747,1
13739,2.5,0,inf,4.167704994535147,4.167704994535147,0
21473,1.5,3,0.2987068205001962,2.3653121393626266,0.2987068205001962,1
3363,2.0,2,1.2247005354802198,0.600478484555099,0.600478484555099,0
19901,2.5,2,0.042035987316430094,7.300029939934223,0.042035987316430094,1
9948,2.0,0,inf,1.2255983648509545,1.2255983648509545,0
55375,0.8,1,0.1438328531259076,3.9492611714997827,0.1438328531259076,1
9795,2.5,3,0.2982452946005136,1.9172241987898688,0.2982452946005136,1
47802,0.1,0,inf,3.8414288301830815,3.8414288301830815,0
36521,1.5,0,inf,0.08315540016201653,0.08315540016201653,0
22493,0.8,1,1.1440352947533445,0.5696411523306351,0.5696411523306351,0
7536,0.8,0,inf,2.6486687509440654,2.6486687509440654,0
46941,1.5,2,0.1721780614106504,6.123720816522864,0.1721780614106504,1
2407,2.5,3,0.44769057510824783,2.2559959104073983,0.44769057510824783,1
54389,0.8,0,inf,1.7480119189011045,1.7480119189011045,0
59156,2.0,1,0.3596347494414945,0.5801074568694123,0.3596347494414945,1
23820,2.0,2,0.0014149787715026763,0.7794877401340876,0.0014149787715026763,1
13636,2.0,1,0.8121107998857686,4.35697161746332,0.8121107998857686,1
26,0.1,0,inf,3.011186080058374,3.011186080058374,0
54368,1.5,0,inf,6.231775449286367,6.231775449286367,0
10800,2.0,3,0.05535215116193978,4.022002239820373,0.05535215116193978,1
16209,1.5,1,0.10228734932150697,0.6165679214679397,0.10228734932150697,1
58144,0.1,0,inf,7.457939263294661,7.457939263294661,0
26229,0.1,0,inf,2.1410334238873014,2.1410334238873014,0
29892,0.1,0,inf,5.8359889222924055,5.8359889222924055,0
7897,2.0,0,inf,7.47681527001636,7.47681527001636,0
26738,0.1,0,inf,5.807773246700374,5.807773246700374,0
1456,1.5,2,0.34076151014891587,7.1659250973110575,0.34076151014891587,1
10357,2.5,2,0.5428195691235153,2.142196389421764,0.5428195691235153,1
16073,0.8,0,inf,5.721237660706292,5.721237660706292,0
9985,2.0,2,1.8362634564859661,4.24828210202458,1.8362634564859661,1
38793,0.8,0,inf,6.817365267829261,6.817365267829261,0
17212,2.0,3,0.3450345669854126,6.139321699426609,0.3450345669854126,1
59098,0.1,0,inf,0.20877742590980558,0.20877742590980558,0
16040,0.1,0,inf,2.2984013692482783,2.2984013692482783,0
37600,0.1,0,inf,0.8630018181542154,0.8630018181542154,0
43469,2.5,1,0.13215733584698397,0.49645351436970353,0.13215733584698397,1
58497,0.1,0,inf,0.8129312359089463,0.8129312359089463,0
2958,1.5,1,1.506424601056261,1.1850637545910139,1.1850637545910139,0
37345,2.0,2,1.2912775217246228,1.982112377347079,1.2912775217246228,1
56802,0.1,0,inf,1.8576029803419964,1.8576029803419964,0
35700,2.0,0,inf,5.443898294494537,5.443898294494537,0
56580,0.8,2,0.693399841596882,3.260174514173817,0.693399841596882,1
55540,0.1,0,inf,6.490044654227029,6.490044654227029,0
55363,2.0,1,0.7898074032702976,5.148413464852314,0.7898074032702976,1
17965,1.5,2,0.2815485579541715,5.603522786612674,0.2815485579541715,1
51530,2.0,6,0.20037377531897052,5.591253059742363,0.20037377531897052,1
39700,2.0,4,0.06047620863978046,0.9761827589742759,0.06047620863978046,1
35151,0.1,0,inf,3.6091281442965144,3.6091281442965144,0
32687,0.8,1,0.38045286855667043,3.0156864125547385,0.38045286855667043,1
45495,0.8,2,0.33080602593913144,3.414310701583669,0.33080602593913144,1
18762,0.8,1,0.35457140357219086,7.101455778009378,0.35457140357219086,1
36437,2.0,0,inf,0.33818006925227706,0.33818006925227706,0
44594,0.8,1,1.8552782274690187,7.281006966307031,1.8552782274690187,1
13197,0.1,0,inf,0.561794605738506,0.561794605738506,0
31255,2.5,2,2.1673481664758194,4.714069757802599,2.1673481664758194,1
51873,2.0,1,0.5270256617397304,1.8309516442809328,0.5270256617397304,1
49504,0.1,0,inf,3.8613639276236134,3.8613639276236134,0
51436,2.5,0,inf,7.182831375468398,7.182831375468398,0
56990,0.1,0,inf,0.6628875060082383,0.6628875060082383,0
38903,1.5,1,0.5674133053598578,6.193968569085495,0.5674133053598578,1
17858,0.1,0,inf,4.5434217412509845,4.5434217412509845,0
24851,0.1,0,inf,6.437730305205808,6.437730305205808,0
18480,0.1,0,inf,0.5875536274979166,0.5875536274979166,0
50935,2.5,2,0.7878282171340257,3.3467432799403882,0.7878282171340257,1
20922,1.5,0,inf,5.029074509241128,5.029074509241128,0
5877,2.0,3,0.6667118452475608,0.9613188690140378,0.6667118452475608,1
4330,0.1,0,inf,6.6724437439314706,6.6724437439314706,0
