eta,mi,S1
0.60306513,0.0025468976,0.0039303764
0.51839787,0.9489851,0.77685606
0.4031993,1.960134,0.541082
1.0283768,3.8445468,0.79712707
0.42754972,3.6396613,0.9399388
0.39751306,1.575702,0.3737107
0.08989678,0.002183322,0.0041698306
0.40838557,0.100480355,0.151999
0.5509547,1.4405931,0.28458273
0.21899846,2.886683,0.8753734
0.07545339,0.0643312,0.11649287
1.2041222,2.3609407,0.5263889
0.4299324,3.7513316,0.9557781
0.396947,1.7930683,0.4748553
0.54157245,1.1468185,0.1081798
0.13455628,2.161657,0.6885838
0.85589963,4.912903,0.94293755
-0.50369936,0.007432365,0.019586109
1.3166977,2.1245198,0.45636216
0.81177205,3.982799,0.86444825
1.4924984,4.6355047,0.79013395
0.5071543,3.9558513,0.95561486
0.7190859,0.12185322,0.16153608
0.48160622,1.1322808,0.8590768
-0.49153805,0.058953818,0.14668554
-0.7042957,0.037156608,0.10827964
0.72987247,4.70344,0.96229446
-0.2332423,0.0022382138,0.005053068
0.5599641,2.8047867,0.745307
0.92380744,1.2280139,0.14296877
0.63999414,1.9005017,0.47417045
-0.8614476,0.05509929,0.17580941
0.8455708,0.0067357,0.0095630055
0.18704008,2.3980792,0.75267833
-0.03013562,0.0035373028,0.0071575087
1.4271461,6.9160953,0.9267089
0.43423885,0.48782173,0.5402609
0.51334465,4.047797,0.9651486
1.141938,4.4092283,0.83144087
0.590416,0.0148907155,0.022802074
0.61061484,0.19971505,0.25686407
1.0169272,4.195243,0.8374925
0.07571818,0.0014010197,0.0026960964
0.16470243,0.022336343,0.040378906
-0.84549415,0.16892458,0.48110172
0.7689478,4.668521,0.9471399
0.669102,3.992319,0.90637034
-0.6601241,1.1413258,0.19370984
-0.9608033,0.00057710597,0.0020843397
0.97508544,1.1345404,0.08680262
0.9798285,1.4734012,0.819309
1.3421516,8.250862,0.9885985
0.42974383,0.02046442,0.033102695
0.5200044,4.348647,0.9982857
0.66648394,4.7795935,0.9897679
-0.8876802,0.056249004,0.18263234
1.2331855,5.226692,0.87658
1.672495,7.020922,0.89160806
0.06186107,1.3723912,0.30452138
-0.7397415,0.0035507749,0.010952157
0.5446983,0.033117022,0.050648134
1.6966257,5.7175713,0.83100075
0.13678217,0.77352375,0.8165441
-0.2049863,0.40352347,0.64042526
-0.9329503,0.0028159397,0.009946044
1.149363,2.970965,0.653605
0.60310733,0.002751935,0.004245859
