index,theta,m,y,c,t,delta
6866,1.5,0,inf,2.189383108837636,2.189383108837636,0
4197,0.8,1,0.2320340793228224,3.652753459523998,0.2320340793228224,1
8673,2.5,0,inf,1.8278072669465328,1.8278072669465328,0
86,2.0,5,0.45219807183770183,1.229247217260245,0.45219807183770183,1
5042,0.8,2,0.9000299001415639,3.9896226033662656,0.9000299001415639,1
5280,0.8,0,inf,3.9636473376947134,3.9636473376947134,0
7998,1.5,1,0.1411873307496907,2.4693625178342336,0.1411873307496907,1
8678,2.5,0,inf,3.045308139040919,3.045308139040919,0
2895,0.8,0,inf,1.5718855621781298,1.5718855621781298,0
7234,0.8,1,0.35349006154168033,1.113243780362956,0.35349006154168033,1
5710,1.5,0,inf,1.8298318933353173,1.8298318933353173,0
2956,1.5,0,inf,1.034708430076492,1.034708430076492,0
1351,0.8,0,inf,3.269801069865302,3.269801069865302,0
3683,2.5,0,inf,1.7237497249564835,1.7237497249564835,0
2296,0.8,2,2.419071702332573,1.2105280950780033,1.2105280950780033,0
3272,1.5,1,0.12376174028033055,3.1553760328540887,0.12376174028033055,1
8231,2.5,1,0.11303902871580182,2.90089540604738,0.11303902871580182,1
5355,2.5,3,0.014396401225430056,2.661246964792868,0.014396401225430056,1
4981,2.0,3,0.35309528031923254,3.0158632200706985,0.35309528031923254,1
4685,1.5,5,0.06524107541590528,2.025613679212075,0.06524107541590528,1
6155,1.5,2,0.013098817216618347,1.3397114204768736,0.013098817216618347,1
3908,0.8,0,inf,2.281085529854001,2.281085529854001,0
5233,0.8,0,inf,2.871617342131665,2.871617342131665,0
8142,1.5,3,0.4707379189783545,3.8235771333030444,0.4707379189783545,1
2487,2.5,0,inf,3.1364714781139167,3.1364714781139167,0
1070,0.8,0,inf,2.568763098339603,2.568763098339603,0
6212,1.5,3,0.028443667045802392,2.564161851516815,0.028443667045802392,1
2045,2.5,8,0.03705801484028936,2.038083090367905,0.03705801484028936,1
6436,0.8,0,inf,1.1531932015709858,1.1531932015709858,0
3840,0.8,2,0.9168834632525965,2.8527010206684995,0.9168834632525965,1
