index,theta,m,y,c,t,delta
27529,0.8,0,inf,4.0822084950939095,4.0822084950939095,0
15584,0.8,0,inf,7.525753379674529,7.525753379674529,0
20738,2.0,3,0.026151945916399594,4.488842268191855,0.026151945916399594,1
41072,2.0,1,0.6145075149408442,3.579297665553884,0.6145075149408442,1
52183,2.5,8,0.09350314341397038,6.435901554820962,0.09350314341397038,1
41968,2.5,0,inf,4.392162160817164,4.392162160817164,0
5831,0.8,0,inf,6.496592660910676,6.496592660910676,0
55403,0.8,1,1.797638208257487,0.9138886665360317,0.9138886665360317,0
7932,2.5,1,0.8790653642552224,5.6374280742428295,0.8790653642552224,1
46643,2.0,3,0.22391183564771178,7.123327399671321,0.22391183564771178,1
6200,0.8,0,inf,6.773915742242181,6.773915742242181,0
36390,0.1,0,inf,1.5843098984835358,1.5843098984835358,0
57752,2.5,2,0.2981307332005228,4.0311500307011165,0.2981307332005228,1
15975,2.0,0,inf,5.8890420855014405,5.8890420855014405,0
53224,2.0,8,0.08149098324481156,1.9950014188895768,0.08149098324481156,1
6598,1.5,1,1.3994425580302425,6.500795635327759,1.3994425580302425,1
54300,2.5,2,0.6141052528216414,5.533486810752312,0.6141052528216414,1
57268,2.0,1,1.4301396373352584,2.4316822359723647,1.4301396373352584,1
26827,0.8,0,inf,6.651120117613547,6.651120117613547,0
14142,1.5,0,inf,7.504663819222003,7.504663819222003,0
20991,2.0,0,inf,1.2437141637127809,1.2437141637127809,0
26535,0.8,0,inf,5.173155503955131,5.173155503955131,0
40482,0.8,2,0.8432312668128674,2.9442014675986004,0.8432312668128674,1
19511,2.5,3,0.32968295421480415,4.776158011140368,0.32968295421480415,1
6976,1.5,0,inf,2.938790212266041,2.938790212266041,0
9527,0.8,0,inf,5.02514874315984,5.02514874315984,0
26946,0.1,0,inf,5.093075624310211,5.093075624310211,0
25796,2.0,3,0.5766573029436536,6.1763537500558146,0.5766573029436536,1
45692,0.1,0,inf,2.0002301233633175,2.0002301233633175,0
6186,0.1,0,inf,7.623367902577488,7.623367902577488,0
4113,2.0,0,inf,2.9225423720377632,2.9225423720377632,0
51971,1.5,0,inf,2.69448974275193,2.69448974275193,0
26538,0.8,0,inf,3.101234580784028,3.101234580784028,0
36842,1.5,1,0.32332983885963323,5.6173003803834805,0.32332983885963323,1
30243,1.5,0,inf,1.522211459133379,1.522211459133379,0
23437,2.5,2,0.6883219797283402,3.184389534188714,0.6883219797283402,1
12978,2.0,0,inf,1.505617871499329,1.505617871499329,0
26612,0.8,3,0.33515449865770447,6.855786527581226,0.33515449865770447,1
34378,0.8,0,inf,6.003663444362642,6.003663444362642,0
6757,0.1,0,inf,2.940812495608298,2.940812495608298,0
29723,0.8,0,inf,3.29438358880011,3.29438358880011,0
45010,1.5,3,0.35741284040373683,2.2488196464190238,0.35741284040373683,1
9794,1.5,2,0.06588526470710546,4.012455453787911,0.06588526470710546,1
51765,1.5,1,0.18535641926705626,4.73855400151252,0.18535641926705626,1
17458,2.0,3,0.18393217812116797,4.322041650552574,0.18393217812116797,1
38181,2.0,8,0.0023947615630855426,1.3590328183045195,0.0023947615630855426,1
4818,0.1,0,inf,5.1805500264023205,5.1805500264023205,0
36699,2.0,6,0.17785203884375544,1.5250396006984435,0.17785203884375544,1
39216,2.5,9,0.1154761872232227,6.79403600660719,0.1154761872232227,1
12217,2.5,1,0.39039786235315027,1.7484700041478978,0.39039786235315027,1
10819,2.5,1,2.9562345011326143,3.5988761075321154,2.9562345011326143,1
28479,1.5,0,inf,3.4880287266015944,3.4880287266015944,0
45235,2.5,1,1.3848947041781554,6.992627560434705,1.3848947041781554,1
48829,2.5,0,inf,5.233971688252439,5.233971688252439,0
57643,1.5,1,1.4904952844578996,2.9409818132319647,1.4904952844578996,1
4607,0.8,1,1.9590031872002898,6.411441318125159,1.9590031872002898,1
30752,1.5,0,inf,0.9277918750373135,0.9277918750373135,0
27669,2.0,4,0.4178124415551224,5.857245180989606,0.4178124415551224,1
55095,0.8,1,0.047556899870371344,5.532014761038716,0.047556899870371344,1
44713,0.8,0,inf,2.6203744124825388,2.6203744124825388,0
38127,1.5,0,inf,3.6522835296690896,3.6522835296690896,0
10357,2.5,7,0.18997068718237892,3.363550408662813,0.18997068718237892,1
28820,2.5,3,0.8869814334774729,6.753819677744468,0.8869814334774729,1
14845,2.5,0,inf,4.402529708002997,4.402529708002997,0
24282,1.5,0,inf,1.3104861338696994,1.3104861338696994,0
37132,2.5,6,0.06871788032403477,2.7798489890523843,0.06871788032403477,1
6282,2.0,1,0.25895927644330824,5.243009570884448,0.25895927644330824,1
51962,2.5,7,0.07150781671665445,1.2829675158335252,0.07150781671665445,1
16377,2.0,7,0.44547544007588974,6.044904434844822,0.44547544007588974,1
43908,2.0,0,inf,4.688934611722646,4.688934611722646,0
52280,1.5,0,inf,5.457691310933469,5.457691310933469,0
43148,2.5,4,0.21634562752010605,5.413978355043548,0.21634562752010605,1
32949,1.5,1,0.5786324005054497,7.64698450484192,0.5786324005054497,1
23193,2.0,2,0.64341679142236,5.426574662400969,0.64341679142236,1
9468,0.1,0,inf,5.917493245254322,5.917493245254322,0
486,2.5,0,inf,1.2462428986534746,1.2462428986534746,0
56675,0.8,0,inf,6.1241925036180636,6.1241925036180636,0
33223,0.1,0,inf,4.372320155439088,4.372320155439088,0
3737,2.0,0,inf,7.179792872995586,7.179792872995586,0
9162,2.5,5,0.08225400451635871,3.2600489672877275,0.08225400451635871,1
45536,1.5,1,1.1377714422933347,0.9994367493374404,0.9994367493374404,0
47672,1.5,0,inf,3.940034581394617,3.940034581394617,0
21609,1.5,6,0.45525467342898623,7.635072706538079,0.45525467342898623,1
19709,0.8,0,inf,2.061914953913214,2.061914953913214,0
6869,0.8,0,inf,1.2891751656524764,1.2891751656524764,0
32607,2.0,2,1.0208992058749302,1.1832187186850427,1.0208992058749302,1
31991,2.5,0,inf,5.053505473414825,5.053505473414825,0
44959,2.0,7,0.1551693468652274,7.322380339103723,0.1551693468652274,1
43061,1.5,2,0.4549544880986957,6.646435268476491,0.4549544880986957,1
30933,0.8,1,0.026248522437948334,4.040722842488176,0.026248522437948334,1
39536,2.0,0,inf,5.634089202782546,5.634089202782546,0
