eta,mi,S1
1.2809101,1.4212921,0.24973099
0.7389309,6.8190827,0.9849254
0.9762932,0.003591223,0.00847441
0.49528575,3.7036777,0.8391423
1.1217285,5.529948,0.8735874
0.94163823,1.6545267,0.363029
1.8321465,0.08851009,0.16243388
1.0437503,8.129643,0.9716427
0.66231924,1.7716484,0.42726693
1.1592726,3.305802,0.7008992
1.4805955,0.15124701,0.25865993
1.4557668,13.863311,1.0
1.5137364,0.48056775,0.5440225
0.24832082,0.01489533,0.040212687
1.8703775,1.5540664,0.29052016
0.75964636,2.80963,0.674677
0.18872859,2.0109038,0.5692866
0.8200163,0.010577704,0.025279293
0.17940488,0.0014269142,0.004034882
1.0448072,8.012412,0.9686742
-0.05293735,0.012568345,0.037447
1.2127066,0.0039061022,0.008904283
0.91695344,5.0854125,0.877635
0.6558936,6.145968,0.9752214
1.0262907,0.003913826,0.009158418
1.3935835,0.06801396,0.13459872
0.46180874,1.6903148,0.41446698
1.2538551,4.8797975,0.8240922
0.731712,0.065411285,0.14351583
1.6091341,14.963908,0.9933274
0.6365913,6.1573677,0.97962606
0.6687859,0.4929896,0.62364835
2.2169778,0.023610564,0.047547948
0.83098346,0.012494719,0.029690448
0.74465543,6.8103585,0.9835389
0.8702893,3.1108148,0.7070015
1.4040799,0.0020747657,0.0046398262
0.411074,1.4453692,0.30482402
1.8885372,2.0716133,0.44823113
0.84834236,1.3950566,0.25309175
1.2885294,0.007966811,0.017845536
1.6135087,0.014345487,0.030668506
0.5600712,2.138513,0.55472696
0.77168024,0.017890016,0.04252779
1.1569562,0.006593595,0.015061868
0.8254607,0.042820368,0.09616209
1.6331234,2.2703612,0.5033364
1.1094702,2.1554205,0.5068542
-0.46255395,1.387557,0.3683605
0.57311964,2.434012,0.6265258
1.1238301,6.812695,0.9240577
0.66002655,1.7014432,0.40096846
0.6595924,0.11218898,0.2306368
0.91620916,0.33177337,0.47865617
1.1621956,0.021922916,0.048573542
0.9253721,1.6683829,0.36933103
0.74355567,1.0186852,0.015228196
0.35568023,0.0037953283,0.010172812
0.7348237,0.015581313,0.037467677
0.9116903,0.0036565287,0.008718654
1.1038328,0.021545218,0.048159562
1.3743945,1.1879303,0.12542158
1.579681,14.104062,0.9897279
1.1906129,4.144777,0.779981
1.1507828,5.285384,0.85790473
0.9264201,3.99019,0.7977838
0.15186785,0.001984501,0.00565146
1.0665066,0.013032413,0.029774629
0.6345618,1.2472509,0.90306264
0.7902818,5.1519747,0.90125763
1.4943032,3.3422418,0.6780018
0.2704187,0.04438866,0.11264794
1.1715245,0.0038493443,0.008823647
2.0658352,4.890946,0.7674834
1.409179,2.3157303,0.92290354
1.1740359,3.4963722,0.72120595
1.020745,2.014909,0.47626308
1.1059949,3.1804643,0.6904569
0.7277869,0.010275011,0.024998885
0.66587555,0.0585143,0.13168384
1.3508387,2.537843,0.571791
1.1923913,6.6108556,0.9087919
1.233918,2.5596185,0.5839485
0.79310304,3.1618226,0.7239205
0.81790406,0.005769369,0.0139244115
1.1095593,0.004370181,0.010093012
1.1981984,3.2650595,0.6923625
1.2950368,1.7798402,0.3889021
1.1879141,1.9390154,0.44368225
0.65472454,0.0017391,0.004366623
-0.3875341,0.002049448,0.0070893774
0.67961514,2.1736398,0.550204
1.9828678,4.8129396,0.7670727
1.401626,0.03213983,0.06783214
1.0668571,0.0025037897,0.0058398605
0.59725165,0.0019527118,0.0049606706
0.42033604,0.08199139,0.18714784
0.86299944,1.6646233,0.37180775
0.73621064,0.0109677045,0.026604539
0.7692912,0.031727668,0.07349257
0.20148039,0.20121336,0.404244
-0.026291698,0.008495742,0.025283948
-0.42008388,2.0800915,0.7372178
0.80974054,0.118416905,0.23408657
1.7880722,4.7530766,0.77421075
0.85964096,3.9435005,0.8026359
1.5277624,0.10765766,0.19639286
0.21064745,0.31435183,0.5423622
0.76230496,7.2334795,0.9940827
-1.1907065,1.5774322,0.7351076
2.0474758,0.0022505666,0.004770121
0.90293705,0.065565884,0.13942733
1.0250428,0.6745836,0.6773443
0.4657396,0.036561716,0.08952573
0.98777854,3.6393852,0.7563545
1.4824963,2.6091504,0.5763135
0.8992163,0.10311633,0.2057559
-0.9347585,0.02436056,0.10561213
0.6671371,0.0021258004,0.0053198915
1.0561502,0.26895675,0.4105917
1.1601877,1.9879146,0.45931414
1.2198279,3.950175,0.7608106
1.1579927,2.2102022,0.5166678
1.1245679,2.6772547,0.6136224
1.6058779,0.7589361,0.6633382
0.7993238,0.17170377,0.31309277
1.216932,0.21409853,0.34420994
1.1300093,0.060484543,0.1253446
0.9059196,3.3494208,0.7336697
1.1414979,0.012634651,0.028581815
0.3241496,4.793385,0.9757392
0.8390899,6.2386694,0.9453637
0.658312,0.01209598,0.029734999
0.9670046,8.889208,0.9999806
0.755555,0.08109578,0.17233501
0.40022868,1.8973999,0.49975127
1.7179359,11.850852,0.9573728
0.8856459,6.3586507,0.94242036
0.46553135,0.0025607445,0.00669484
0.7258604,0.0034510368,0.008513299
1.2377017,0.005476941,0.012406568
-0.13017929,2.5427926,0.79579467
1.5033005,0.0020160687,0.004462507
1.9365405,0.04262758,0.084221795
0.011758067,1.6886725,0.47014058
0.15421739,2.608124,0.7391192
-0.05761482,0.09204919,0.23782375
1.337466,1.8866032,0.4202518
-0.02210613,2.2348266,0.682325
-0.40173292,0.0332019,0.10879661
0.75772583,0.019952994,0.0473683
0.50181514,0.32893866,0.51694226
0.84297985,0.9629494,0.7998832
1.0677156,1.8520895,0.9227783
1.2942623,9.373718,0.9643111
1.1925988,0.010349031,0.023354884
0.720693,0.09042287,0.19039641
1.0316371,7.9273553,0.96849954
0.31888336,2.7754912,0.73907906
1.3857877,5.240692,0.8310927
0.8567631,0.0075217034,0.017966352
1.0579416,3.7620866,0.76055306
1.7618924,0.020892004,0.043551806
0.43453807,3.4191744,0.817126
0.29866362,0.15289456,0.3210378
0.3088616,0.57932454,0.73380935
0.9104103,3.5876107,0.76039165
0.6924508,4.7729683,0.8945374
1.4773059,1.6551466,0.33868498
1.704358,0.024390018,0.050741162
0.6490599,3.5626903,0.7955911
0.83997583,0.42743406,0.5603635
0.6510019,2.8402057,0.6945861
-0.026434626,0.012825335,0.037848715
0.31317693,1.1012851,0.08637492
-0.30902296,1.6757325,0.5220945
1.413612,0.0085236365,0.018800264
0.8460411,0.05098568,0.112389356
1.3741279,10.602836,0.9743352
0.49519727,5.198757,0.9613017
-1.0391238,0.0021058738,0.010121872
1.6522659,0.05684525,0.11186494
0.9188648,3.4048455,0.7387176
1.0775349,0.01047027,0.02400235
1.1605387,4.7698784,0.8274313
1.0401598,2.5199108,0.59222865
0.9603327,3.3460658,0.72673285
1.6347276,10.508929,0.94796467
1.456825,0.003670231,0.008135813
0.71309304,0.7219649,0.73561174
1.0066167,1.3037378,0.19916354
1.2011921,0.059266888,0.12191259
0.014794102,0.1384689,0.32372233
0.90584326,0.002580108,0.006171253
0.80660224,7.5298333,0.9946908
0.97975236,0.34546238,0.48530412
1.0065081,0.0024546837,0.0057781693
0.6567797,0.030265542,0.07187373
-0.45975393,0.009937511,0.034918886
1.1076845,0.38879117,0.5096861
1.0855254,0.57103944,0.623195
0.66009456,6.633269,0.99378175
1.1494784,0.0021931427,0.0050588874
0.42737657,0.0036436568,0.009593858
0.94900554,5.0200405,0.8692275
0.15472914,0.014946082,0.041456457
0.8593546,1.6152515,0.9252936
1.2943524,1.1057109,0.07485612
0.46768603,5.332302,0.97547895
