index,theta,m,y,c,t,delta
33616,2,5,0.1442292170378348,3.266377107304479,0.1442292170378348,1
16293,3,0,inf,0.9407219292160995,0.9407219292160995,0
56091,2,0,inf,2.3495836683069182,2.3495836683069182,0
4811,3,4,0.17895863518938676,1.5036380617558198,0.17895863518938676,1
12172,2,0,inf,3.508717242607949,3.508717242607949,0
24666,3,3,0.08689842345586009,3.5135432618970786,0.08689842345586009,1
44131,1,1,0.028017062688377666,4.105840226557948,0.028017062688377666,1
8966,2,0,inf,0.8969315873945627,0.8969315873945627,0
55006,1,0,inf,1.0884823559767494,1.0884823559767494,0
49157,3,0,inf,0.7281220567408191,0.7281220567408191,0
24504,3,1,0.11696805970444787,4.572615926596229,0.11696805970444787,1
24932,3,0,inf,4.61116217489482,4.61116217489482,0
16275,2,0,inf,0.20295377275146032,0.20295377275146032,0
3009,1,0,inf,5.364436069799394,5.364436069799394,0
47911,2,1,3.8845078675242752,0.9973295500793143,0.9973295500793143,0
9297,3,5,0.3837345234282037,2.1126721657686143,0.3837345234282037,1
41175,3,1,0.1033566647268135,0.6038815810547903,0.1033566647268135,1
5203,3,16,0.004967999177791547,3.584436232128202,0.004967999177791547,1
42758,3,10,0.016765985380691042,0.8635982469064507,0.016765985380691042,1
50856,3,0,inf,4.967026036506377,4.967026036506377,0
20924,3,3,0.22151144732474076,0.08847785055575395,0.08847785055575395,0
19685,1,1,4.568572464860612,2.932569700454455,2.932569700454455,0
13070,2,0,inf,5.239272330026676,5.239272330026676,0
28967,3,1,0.5726186505435948,2.943502360349048,0.5726186505435948,1
14859,3,0,inf,2.5191488358144425,2.5191488358144425,0
6196,2,0,inf,1.4329494642320537,1.4329494642320537,0
33807,2,2,0.7983545597924266,3.645073095387404,0.7983545597924266,1
33175,2,0,inf,1.012417202478533,1.012417202478533,0
24546,3,8,0.17599729969196368,0.2618474480817189,0.17599729969196368,1
26509,2,3,0.08194548926062624,1.4419348827294516,0.08194548926062624,1
47121,2,1,0.3835371261283485,4.00857431923152,0.3835371261283485,1
39165,2,0,inf,4.221739639486411,4.221739639486411,0
30955,2,1,1.0772891083681524,3.061606773982139,1.0772891083681524,1
2381,2,2,0.37548101080931645,3.569443584178244,0.37548101080931645,1
44293,2,8,0.1023567566770822,1.6866196188866491,0.1023567566770822,1
18617,3,0,inf,0.9961410315402696,0.9961410315402696,0
8900,1,1,0.5763014955682617,3.4699030964176174,0.5763014955682617,1
18901,2,2,0.6563689171030874,0.3950359231479719,0.3950359231479719,0
30467,2,1,0.6333352763737928,4.080999163480994,0.6333352763737928,1
9137,2,7,0.04438329838484531,1.7920163257947286,0.04438329838484531,1
18490,3,2,1.5243745282261254,4.18353999683268,1.5243745282261254,1
51655,3,0,inf,3.5547616976892873,3.5547616976892873,0
42057,2,8,0.21144409531007632,1.8845981321505128,0.21144409531007632,1
28961,3,0,inf,3.199396377208487,3.199396377208487,0
26810,2,0,inf,2.9685413517293977,2.9685413517293977,0
35690,3,3,0.08165751344053818,4.914089988476725,0.08165751344053818,1
45026,2,2,0.32201686812329816,4.481105950893079,0.32201686812329816,1
38037,2,0,inf,5.031581372974577,5.031581372974577,0
57864,3,0,inf,5.458333900621021,5.458333900621021,0
3528,3,4,0.44301712710683167,0.3888147227941119,0.3888147227941119,0
53852,2,6,0.2934072013865358,4.857352176671199,0.2934072013865358,1
49551,3,1,1.1220912838264625,0.718615074578918,0.718615074578918,0
2104,3,0,inf,0.43469293108199386,0.43469293108199386,0
15345,3,9,0.03930861115776482,0.04565310194274043,0.03930861115776482,1
41984,2,3,0.1821932201837648,5.337939873058575,0.1821932201837648,1
57272,2,8,0.32065969501402697,4.7537791298311864,0.32065969501402697,1
31951,3,14,0.0007716684028222276,4.104708268261999,0.0007716684028222276,1
50650,3,1,1.817168859842362,2.6555605777194247,1.817168859842362,1
55134,3,3,0.09177590321496382,3.6305292434005074,0.09177590321496382,1
51567,2,0,inf,3.43112144967384,3.43112144967384,0
33862,3,3,0.608346251311068,1.8943019487606116,0.608346251311068,1
51365,3,22,0.029314198028395227,4.947088814601365,0.029314198028395227,1
58702,2,0,inf,4.342154537111199,4.342154537111199,0
58977,2,0,inf,2.6813481692149685,2.6813481692149685,0
7359,3,2,0.38457251207194354,4.836487294024414,0.38457251207194354,1
44931,2,4,0.21461676817197733,0.9412556440006277,0.21461676817197733,1
38692,2,0,inf,0.8378904556494206,0.8378904556494206,0
46835,2,5,0.20997180475701094,4.111035560475068,0.20997180475701094,1
59467,3,0,inf,2.979360081836495,2.979360081836495,0
56455,3,0,inf,3.941003053321697,3.941003053321697,0
39049,1,0,inf,1.6587006509438869,1.6587006509438869,0
56388,2,0,inf,4.88171153258862,4.88171153258862,0
45181,3,0,inf,0.9597034895804925,0.9597034895804925,0
27535,2,0,inf,4.399442185495234,4.399442185495234,0
49368,3,1,0.06712071629361809,4.911343805384956,0.06712071629361809,1
9343,1,2,1.2056701779723928,3.499495140343973,1.2056701779723928,1
53330,3,3,0.11311701003535488,2.4475797878066947,0.11311701003535488,1
41835,3,1,0.027825924423864796,4.181511146856512,0.027825924423864796,1
33985,3,5,0.31094525195152006,3.5969974773508615,0.31094525195152006,1
51786,3,0,inf,0.9707416506824808,0.9707416506824808,0
39472,2,0,inf,4.925752707566765,4.925752707566765,0
36848,3,1,1.6750045520700632,1.3597064760575228,1.3597064760575228,0
56292,2,0,inf,0.062187277955392604,0.062187277955392604,0
16371,2,2,0.38132470040431254,0.6511791107440006,0.38132470040431254,1
51001,1,0,inf,5.265208226731417,5.265208226731417,0
11824,2,1,0.7879738214729157,4.913700365396097,0.7879738214729157,1
3312,3,0,inf,4.153570754433115,4.153570754433115,0
23256,1,0,inf,1.5463987805815638,1.5463987805815638,0
261,3,1,0.9745483985958193,4.19389613302758,0.9745483985958193,1
55155,3,7,0.0640276356315617,0.7478407016885492,0.0640276356315617,1
10965,2,0,inf,2.418031249966463,2.418031249966463,0
7956,1,3,0.7356721232324291,0.1033170397589558,0.1033170397589558,0
30096,2,1,2.265274019527961,1.1387370439732805,1.1387370439732805,0
32451,2,17,0.006253102189834168,4.326102550414246,0.006253102189834168,1
13245,3,6,0.05771037269586609,3.8464809345246307,0.05771037269586609,1
2714,3,3,0.44867221962861137,4.340429695748354,0.44867221962861137,1
18994,1,1,0.7174006981671259,1.0229599407280043,0.7174006981671259,1
25512,1,4,0.34977675000282843,2.0869355576283506,0.34977675000282843,1
5735,3,8,0.013248379636628622,1.0661269139346343,0.013248379636628622,1
39058,3,0,inf,3.5290519643602645,3.5290519643602645,0
52373,3,11,0.028195864063214997,1.0338826106232202,0.028195864063214997,1
19551,3,0,inf,1.200720268916322,1.200720268916322,0
40386,3,0,inf,2.02583956249762,2.02583956249762,0
28700,3,4,0.11547118076470946,3.1547682902282,0.11547118076470946,1
7908,2,6,0.0162699741176308,2.864212475451194,0.0162699741176308,1
49919,2,0,inf,1.337704815220265,1.337704815220265,0
16349,3,10,0.3251259386307166,2.8124003481031,0.3251259386307166,1
31127,2,0,inf,4.802535936975711,4.802535936975711,0
48599,3,6,0.033652563541400116,0.9078171411560588,0.033652563541400116,1
55517,3,0,inf,4.243479565637371,4.243479565637371,0
44724,3,2,0.16078543805434442,1.7880912980477013,0.16078543805434442,1
2799,2,2,0.031765031126840815,1.9832567178980072,0.031765031126840815,1
24192,1,0,inf,5.010244888934621,5.010244888934621,0
29419,2,0,inf,2.0273327710749416,2.0273327710749416,0
19579,2,0,inf,4.294770871036014,4.294770871036014,0
17196,2,0,inf,3.2013871669954956,3.2013871669954956,0
22354,2,12,0.04605848993932032,2.3185687810708946,0.04605848993932032,1
4862,1,0,inf,4.980413079486562,4.980413079486562,0
8524,2,1,0.04808291688863068,3.901488571216225,0.04808291688863068,1
3918,2,0,inf,0.8313335158327402,0.8313335158327402,0
1752,2,0,inf,3.9438890461996414,3.9438890461996414,0
14176,2,1,0.01627246688427267,5.02521398945386,0.01627246688427267,1
32397,3,5,0.003877852698389849,1.3647278517600638,0.003877852698389849,1
48607,2,0,inf,3.8378211299614122,3.8378211299614122,0
25782,2,4,0.30618760994736305,4.645339290523061,0.30618760994736305,1
57534,1,2,0.8108188401181521,5.054183118604998,0.8108188401181521,1
44728,3,12,0.07277053334902962,1.3444844336565343,0.07277053334902962,1
44883,2,0,inf,4.56719172355875,4.56719172355875,0
34471,2,1,0.8271242041257831,1.2023526057959557,0.8271242041257831,1
