index,theta,m,y,c,t,delta
8646,3.0,1,0.20851685184070898,5.3463217088072525,0.20851685184070898,1
3444,3.5,0,inf,6.048132584728839,6.048132584728839,0
893,2.5,0,inf,0.9967975884857119,0.9967975884857119,0
8841,3.0,3,0.22149410162508473,2.336905507875677,0.22149410162508473,1
7955,2.5,3,0.02513321818170041,5.835328927224753,0.02513321818170041,1
57,3.5,0,inf,0.4437551463274541,0.4437551463274541,0
547,1.0,0,inf,1.0298063614494344,1.0298063614494344,0
29,3.0,0,inf,3.5375710420327637,3.5375710420327637,0
3405,3.5,10,0.09709549786691662,2.54307758511689,0.09709549786691662,1
3263,2.5,3,0.05813505518045054,2.244176526154034,0.05813505518045054,1
6801,3.5,0,inf,1.7932741417542382,1.7932741417542382,0
2112,2.0,0,inf,2.2767100001076725,2.2767100001076725,0
8330,3.5,0,inf,4.524830388362306,4.524830388362306,0
4827,2.5,0,inf,2.674397189679877,2.674397189679877,0
1047,3.0,2,0.3321998224049149,5.941873714705989,0.3321998224049149,1
9737,1.0,0,inf,0.035203828518348766,0.035203828518348766,0
8335,2.0,1,4.287818459270468,3.8888451940927964,3.8888451940927964,0
8265,2.5,1,0.11168824334717492,3.890574430470333,0.11168824334717492,1
6327,1.0,0,inf,1.830233031111139,1.830233031111139,0
9701,3.5,1,2.256586560421254,1.2395866216022309,1.2395866216022309,0
9496,3.5,0,inf,0.703245616700957,0.703245616700957,0
9998,2.0,0,inf,4.929066951625383,4.929066951625383,0
9517,3.5,0,inf,5.4488916765788575,5.4488916765788575,0
1249,1.0,0,inf,2.0026814275891547,2.0026814275891547,0
1489,3.0,8,0.03316494450753136,4.178612261366295,0.03316494450753136,1
3597,2.0,0,inf,3.0127082276013675,3.0127082276013675,0
5599,2.5,0,inf,4.317342054671851,4.317342054671851,0
394,2.5,1,0.2610737322686459,5.839438663926911,0.2610737322686459,1
5317,1.0,0,inf,3.5711289315168435,3.5711289315168435,0
205,3.5,12,0.056465859769494524,4.635811349744104,0.056465859769494524,1
5037,3.0,7,0.16922743494689885,5.3591009057579955,0.16922743494689885,1
6981,2.0,6,0.4436883703097989,3.1287517577533555,0.4436883703097989,1
3918,2.5,0,inf,0.6185109345012804,0.6185109345012804,0
5218,2.0,0,inf,0.9440134711148774,0.9440134711148774,0
7794,3.5,1,0.11366646491096949,4.57970775299679,0.11366646491096949,1
6210,3.5,0,inf,5.318144609667106,5.318144609667106,0
9577,1.0,0,inf,4.682882830293801,4.682882830293801,0
9764,1.0,4,0.0032910821227326473,0.1817201805615839,0.0032910821227326473,1
2628,1.0,3,0.9441563072789435,0.35350010085964967,0.35350010085964967,0
5776,3.0,1,0.964070953164244,5.498787095317191,0.964070953164244,1
3084,3.5,2,0.880339010109625,1.7109307891396568,0.880339010109625,1
