eta,mi,S1
0.028049398,1.4921365,0.45921648
0.50532687,0.33349216,0.22697826
-0.87180674,0.0015822962,0.0039412356
0.85983217,2.8299932,0.7463083
-2.1070983,0.0009733728,0.0081019
-1.5456579,0.0072196214,0.03456466
2.752833,14.712319,0.9085959
1.3293613,5.1152515,0.9927793
-1.381858,0.0121895885,0.049700893
-1.4556077,0.07590445,0.33049095
1.2485179,4.587827,0.9516408
1.2190295,3.2964644,0.9805668
0.855461,3.2911289,0.9051469
-0.032831408,1.4857438,0.4793164
-0.43836337,0.025765156,0.042407572
-0.56980085,0.005599359,0.010453274
-0.19127041,1.8032625,0.8920465
1.261308,2.8558643,0.5533052
-1.5452573,0.17599863,0.82831067
0.34800407,1.6093454,0.4230996
0.6725572,1.2964321,0.16017683
1.4643599,2.3018863,0.35053042
0.6423779,2.697631,0.8369946
1.4022561,2.7037923,0.46409953
-3.544259,0.0076048523,0.26379448
-0.9152849,0.3889468,0.97246057
0.39235646,2.369495,0.858558
1.3350481,4.4761233,0.8720143
-2.9237638,0.04162129,0.7755564
0.6981956,2.3580456,0.6565827
0.4281948,0.051470798,0.038491677
0.6649407,1.9191695,0.47373226
-3.1171935,1.0042996,0.08862678
0.37246436,2.3658333,0.87150556
-0.54505396,1.1032561,0.1696904
0.6749446,3.0362523,0.9515416
1.0843891,1.2034067,0.4705912
0.8839784,3.5519629,0.9662837
0.5457456,0.0077443575,0.0052575194
-2.3818514,0.08521268,0.9230764
0.78739345,3.1668832,0.91341555
-0.2212747,0.0056434274,0.0076011657
-0.18010497,0.08316557,0.10700436
0.52011436,2.7608676,0.9582726
0.45840812,2.0793426,0.6543329
0.78025264,2.8205729,0.7927945
1.0765604,4.1077676,0.9709524
0.604935,2.431856,0.7441659
-2.6198344,0.06936119,0.9528951
0.29186213,0.016363915,0.0138354935
0.9713569,1.8426986,0.3405384
-3.048597,0.003468778,0.073463164
-1.7204145,0.031419296,0.178117
0.7845787,2.6543136,0.72727317
-0.35626888,0.01206158,0.01840779
-0.30283338,1.7971759,0.9823077
0.81433284,2.8191175,0.7704603
-1.7925694,0.0025888532,0.0158005
1.3348733,4.702526,0.9146225
0.26352304,1.8476202,0.6212408
-0.42006022,1.5612981,0.78750265
0.119096436,1.5599718,0.4784584
-2.443968,0.019921696,0.23100315
0.33944845,2.502301,0.975911
-0.057008,1.6311213,0.62870777
0.4555705,0.68021154,0.46753177
-2.08723,0.0023903397,0.019506609
0.21492812,1.9336159,0.70926994
-0.80395913,0.391883,0.88030213
1.206866,4.588891,0.98187447
0.5751803,2.8213534,0.94126964
-2.032174,0.0015110016,0.011679271
-0.95079905,1.008295,0.020253282
-0.6777141,1.5406811,0.96950066
2.0843155,9.591885,0.9840565
1.0692507,2.7460017,0.60720414
0.4887355,2.4173515,0.81429666
0.9021441,3.5096476,0.93942195
0.18499373,0.38871908,0.3483972
0.72301376,2.0608916,0.5148264
0.73013365,3.1823957,0.96326584
-1.8760725,0.019028418,0.12587735
0.37464964,0.03440686,0.027003527
-0.4437107,1.6805943,0.9663479
-1.0990701,0.030206762,0.09340034
0.82512,3.161772,0.8839446
-1.2014976,1.2729954,0.8294463
0.96348923,3.5812755,0.91525793
-2.9730265,0.002024055,0.039766658
1.3024709,3.3818295,0.6618716
-0.5057936,1.6519322,0.98377955
1.0643423,3.2898042,0.76664716
-2.516613,1.0698472,0.7878629
0.16272564,0.53068906,0.47865942
-1.5107628,0.00096079265,0.00444822
-1.6407568,0.17028537,0.8805487
0.8664095,3.4488733,0.9476905
-1.5503815,0.009353991,0.04498119
1.2429738,2.5550761,0.4812283
0.56884515,2.3547492,0.73049265
-2.8511212,0.017770413,0.308784
-2.4639935,0.002136128,0.025311233
-2.6235855,0.00034426153,0.004779928
0.5333734,1.5824357,0.3452759
-0.4560023,1.5363326,0.7800003
1.2059937,0.6568303,0.24616542
-0.70847833,0.15870944,0.33291015
0.5047962,0.36290237,0.24640635
-0.30218825,0.0046227076,0.00671284
1.0806485,3.5139856,0.817363
1.0832813,2.9174247,0.65087134
-0.94376564,1.3728461,0.8752117
0.9311518,0.19191043,0.09303736
0.36111712,1.5496761,0.37926206
0.8947568,3.5473382,0.9565338
0.69282836,2.6388054,0.7781941
1.518473,3.8547204,0.65738416
0.3407897,1.7528782,0.51965237
0.44045347,0.009080218,0.0067472355
-3.0490847,0.0008707257,0.018454317
0.8150037,3.4239738,0.9798436
0.9590843,0.12719811,0.060695652
-1.8400639,0.0029251294,0.018706407
0.80619067,3.105296,0.8780129
1.2678502,2.7614048,0.52648056
-0.6126779,0.10284482,0.19803418
1.2371192,4.3630743,0.9136872
-2.2548761,0.0013510926,0.013014819
-0.40474552,1.705297,0.9634222
0.95384556,1.6746172,0.69605637
0.78963727,2.0303383,0.47448137
0.9612586,3.7885215,0.97560436
-2.2469077,0.011385918,0.10870786
0.0018661544,1.6860094,0.6446437
-0.36149237,1.5043384,0.6731343
-0.6151764,0.0028049652,0.0054681
-3.2337573,0.004967947,0.1264947
-0.51803726,1.4003778,0.6246842
-0.6219583,0.33738112,0.6405247
1.8498155,7.342738,0.9408964
2.0184352,9.1289,0.9895612
0.3930804,2.4031358,0.87670916
0.63044053,2.9125924,0.9366373
-0.58361334,1.4786353,0.7891347
0.33887947,0.0067683063,0.0054959916
1.006045,3.871542,0.96396554
0.642647,1.2571399,0.14297013
0.83547395,2.8153472,0.75596404
0.20829158,1.5361905,0.42387447
-3.5182226,0.00016253963,0.005497721
0.6519931,2.3865004,0.6951321
-2.2033587,0.0045807697,0.041919466
1.2220082,3.5293417,0.7377846
0.4345454,2.5742705,0.93592703
0.59379876,2.9698873,0.99061054
1.7730871,6.0504785,0.8489835
1.191166,2.6888232,0.8558132
0.028065486,0.0130769685,0.014004443
0.22366035,0.83898365,0.6963185
0.5785682,0.18482983,0.119901046
-1.9894203,0.00083448004,0.0061840606
0.64382696,2.827553,0.89083976
-0.038584694,1.5911818,0.5810937
1.0307034,1.6841516,0.26744798
-0.33286002,0.7113987,0.992874
0.88573956,2.8719416,0.7451866
0.6962966,2.8716674,0.870173
0.261791,2.0449145,0.75445354
-2.1207602,0.04949412,0.41554862
0.45505473,2.3950558,0.8265775
0.11147039,1.3221805,0.28299695
-2.9788713,0.013101192,0.2586142
