eta,mi,S1
2.134802,9.3926115,0.9446064
-0.020123435,0.23316258,0.25526655
1.0312747,2.2369528,0.46149847
2.8031266,18.289404,0.9816495
-1.1377922,0.012056533,0.038773756
-0.93482,0.28523663,0.73401463
0.9438151,2.3972418,0.55128986
0.87784714,3.6462865,1.0
-3.5381305,0.021281628,0.73271096
0.35552093,1.5713964,0.39543968
-0.6156586,0.009389295,0.01830016
0.09606941,1.5627953,0.49081844
-1.9768835,0.0245661,0.17938827
-4.353471,0.011381486,0.88501686
-1.5440276,0.07471129,0.35472494
1.2425133,3.673899,0.76001126
0.13619924,1.4771307,0.40436077
0.11178834,0.21507612,0.20933363
-4.2523813,0.005400287,0.37982687
0.12636505,0.6782978,0.6233287
0.38874722,2.1009355,0.7077336
0.8920343,2.8857832,0.74610305
-0.43362072,0.007065359,0.011599014
1.2513193,4.5310774,0.9382955
1.4320478,5.254553,0.9449802
-1.030734,0.14098667,0.40361118
1.8873445,7.2827716,0.9141767
-0.41065338,1.5152996,0.7194776
-2.31254,0.0017290866,0.017633718
0.9569695,2.4941,0.5788545
1.3116511,3.954126,0.7819766
1.5839602,5.1436977,0.8349976
-5.148334,0.00016630806,0.028645165
1.1182207,3.9468646,0.90192395
1.7226914,6.6649585,0.9470001
0.7040114,2.9932914,0.9121675
-0.39892855,0.5136022,0.7768452
-1.2016338,0.11164187,0.37821192
-4.7119083,0.008829707,0.9824465
1.769126,7.3427224,0.98922855
-4.7286706,0.0011440649,0.12954488
1.0885472,3.0045688,0.6731525
-5.057217,0.0002465083,0.03876311
-2.3777428,0.013533724,0.14705522
1.4260188,4.077311,0.74381876
-4.6793804,0.0062628193,0.6747301
1.0140221,1.3976314,0.56745446
1.0986489,3.6142254,0.8320702
-1.6566323,0.16082416,0.84546584
-5.2140064,0.0032089928,0.59003776
-1.0570215,0.0039131176,0.011647871
0.8131455,1.6491836,0.7693817
0.5054264,2.1522133,0.66678554
-0.6522133,0.031739686,0.06390452
1.073892,2.5292392,0.5390818
1.3866976,3.718974,0.6934679
1.9499246,8.189491,0.95764333
-1.5360823,0.035195906,0.16646625
1.4061935,2.838613,0.49417973
3.2067084,27.045794,0.987741
0.38194704,1.16324,0.8154187
0.7006525,2.535362,0.73031557
-0.44782332,0.26522124,0.4301587
0.81903374,2.5013947,0.64955986
-0.38283122,0.07166413,0.11145812
0.98365927,2.032615,0.8006057
-1.3119618,0.26574475,0.9871712
0.48141542,1.5620681,0.34899747
2.449634,12.202399,0.9401186
1.4553413,5.088263,0.90315413
-2.325051,0.0058411364,0.060287386
0.78902864,2.4121013,0.6306005
1.9913638,6.32119,0.7710896
1.3657918,4.205659,0.80149835
-4.0624785,0.0017341579,0.10094201
1.3685336,3.4990425,0.65623933
-0.7755684,0.042713214,0.09662429
1.5324184,5.433175,0.90774536
2.3369305,11.96888,0.9817261
0.831999,1.9724824,0.43470657
1.8260797,6.9469914,0.91604716
1.0288273,4.0257034,0.9867848
1.2059757,3.9798198,0.8513266
-0.11356432,0.52557206,0.60931283
1.6055808,6.306526,0.97878563
0.23406294,2.0425708,0.77164245
1.0448765,3.7907338,0.9141449
-0.25043136,0.11693135,0.16002949
-0.12018565,0.018246135,0.022360094
-2.0014153,0.0027924136,0.020935915
0.9236905,3.0586371,0.7835793
0.62904906,1.8509388,0.45458686
1.8131953,7.657924,0.99213994
-0.022557015,0.46777403,0.50175226
2.0546062,8.0959835,0.8946189
0.1788031,0.016002567,0.014958794
0.47409597,2.2751837,0.7505005
3.425609,33.85116,0.99284637
-1.1315345,0.018671788,0.05964601
1.3261635,4.735651,0.92656755
-0.03530659,1.7675217,0.74090064
-2.2445612,0.031516958,0.29961008
1.5303582,4.8387537,0.8186704
-1.9725686,0.072605826,0.5254177
-1.7763709,0.034800295,0.20836811
0.37610695,1.8731573,0.5784169
1.2963161,4.5651197,0.914312
-0.2086937,1.2000391,0.23791495
-1.2819196,0.031215655,0.115249
-0.93192244,0.0067378352,0.017771775
-4.002974,0.0013361988,0.0732951
1.6840459,6.6857014,0.9732633
0.37169275,0.37265655,0.28366598
0.56224793,2.6860833,0.8903865
1.5552353,4.215562,0.7037984
2.2542682,10.866261,0.9690732
0.7329507,1.6619668,0.8272649
-4.6156187,0.00036756435,0.03717789
-3.0403275,0.000474773,0.009975501
-3.1005862,0.0054658125,0.12188095
-0.583639,1.0971762,0.1657275
-0.580117,0.073324345,0.13730109
-3.719559,0.017666167,0.7291407
-4.298873,0.0007090779,0.052267227
0.01013609,1.3219854,0.30996037
2.565598,13.770394,0.9502326
1.8012556,7.1604347,0.9516535
-0.44136134,0.114355475,0.18709843
0.19143648,1.5889726,0.47049403
1.2196428,3.6545882,0.768572
-0.02310407,1.2989265,0.2972016
1.9104191,7.682778,0.93732524
0.59892637,2.9273202,0.96818525
-0.22097646,0.025394244,0.03412685
-5.9322734,0.0007570018,0.28545183
0.21518905,0.53201425,0.4578534
1.9350277,8.1141,0.95993185
-4.5900745,0.000112869326,0.01112899
1.6924094,6.4369435,0.93965304
-3.1641507,0.0018511761,0.043991785
0.6366321,2.2166095,0.6264701
-0.8953579,0.027621819,0.07019236
-5.697064,0.002033184,0.60595095
1.490217,3.6745374,0.6362851
0.83492666,3.2400906,0.90331596
2.2562914,11.367945,0.99341065
-3.4125605,0.00060830725,0.018517472
0.47148916,1.5207634,0.32729635
1.7554561,6.401224,0.898474
0.12582189,0.670881,0.61724246
-1.3274342,0.005153283,0.019939907
2.4801304,12.091204,0.92245424
2.0693774,8.559046,0.9215683
0.34552333,1.2082739,0.15011589
0.08042859,0.10673907,0.10801135
-2.231247,0.008943842,0.08409948
1.6675401,6.57032,0.9705372
-2.8146043,0.0031960423,0.053633448
-0.4532777,0.011867183,0.01983573
-0.19184744,0.79787403,0.96908003
-0.08090001,0.4693433,0.53090787
-4.2441235,0.012938875,0.9018972
-1.0193481,0.31996298,0.8902529
-1.1537142,0.27368072,0.8710812
0.6742929,2.9446855,0.9156792
0.31403038,1.0176237,0.767074
-0.69104785,0.03594848,0.07507116
2.0387435,7.524749,0.85704297
0.870215,1.8554261,0.37438357
2.627494,14.879912,0.96099377
0.8997942,2.333705,0.5478695
0.9005331,1.9250758,0.3927982
2.105911,9.256433,0.9507149
-1.9911402,0.051438548,0.37991935
-1.3478383,0.058434684,0.22942354
-0.73457706,0.014438659,0.031497218
0.9385883,3.420116,0.88576853
-1.468771,0.19164188,0.835622
1.0774196,3.1621177,0.723557
-4.1428103,0.0059500113,0.37510097
0.44605836,1.8506098,0.5312602
1.3132355,1.9395661,0.2903384
-0.6581786,0.084034175,0.16927378
0.10344839,0.81972855,0.758929
-0.19968076,1.4972196,0.57129765
0.5248872,1.2643908,0.16233328
0.20656668,1.4130545,0.33056217
0.51351833,1.8709269,0.5123809
1.8009269,7.1554384,0.9513533
1.4754497,5.0516467,0.88473946
-1.0063119,0.004677998,0.01325823
0.6613462,1.3305215,0.17973821
0.8312599,3.450581,0.97563565
0.45758474,1.5636836,0.99093276
-0.202886,0.03188819,0.042115416
1.8689069,7.0191183,0.89935035
-5.44911,7.368978e-05,0.017143881
-3.4635231,0.004459273,0.1427636
1.8532495,6.475509,0.85321265
-4.107805,0.00030897002,0.01881973
