index,theta,m,y,c,t,delta
35003,1.5,3,0.23266421634970513,4.756589610787397,0.23266421634970513,1
49940,0.1,0,inf,0.8262313346746905,0.8262313346746905,0
45134,0.1,0,inf,3.2778682208926373,3.2778682208926373,0
50151,0.8,2,2.6776525091200685,4.258844024506403,2.6776525091200685,1
19351,0.1,0,inf,2.0627781205531543,2.0627781205531543,0
24507,2.0,0,inf,2.6706958757246415,2.6706958757246415,0
25797,1.5,1,0.5644391387227625,2.282826996996322,0.5644391387227625,1
30284,0.1,0,inf,4.884865639129343,4.884865639129343,0
26541,2.5,2,0.08934036361506086,3.293360585093697,0.08934036361506086,1
48578,2.0,0,inf,1.0766526753820786,1.0766526753820786,0
45036,0.8,1,1.157043553711077,0.09777732460322736,0.09777732460322736,0
12946,2.0,3,0.2726370044404266,0.0724160725342998,0.0724160725342998,0
24406,2.5,2,0.638658548429092,0.2008080264170255,0.2008080264170255,0
14194,0.1,0,inf,0.25389999480497016,0.25389999480497016,0
10793,0.8,0,inf,1.6237449121046823,1.6237449121046823,0
37309,2.0,1,3.1344332447963197,2.302734952362534,2.302734952362534,0
26204,0.1,0,inf,2.107985318097318,2.107985318097318,0
4007,0.8,1,1.4458222647789938,0.8614522572102065,0.8614522572102065,0
880,0.1,0,inf,2.82591429629604,2.82591429629604,0
849,0.1,0,inf,1.1427404226593292,1.1427404226593292,0
10552,0.1,0,inf,0.12457214637112604,0.12457214637112604,0
27916,2.5,2,0.4784946722755609,2.9261656350434104,0.4784946722755609,1
40473,0.8,0,inf,0.20348225519866497,0.20348225519866497,0
4889,0.1,0,inf,3.444102987382587,3.444102987382587,0
53214,1.5,3,0.29445003538961556,3.0267706726778942,0.29445003538961556,1
36925,1.5,0,inf,2.7709009798235966,2.7709009798235966,0
23080,0.8,2,0.04614611002338675,3.6767476826996313,0.04614611002338675,1
17038,1.5,1,1.9063312013165274,3.9427531280601538,1.9063312013165274,1
17720,0.1,1,2.3422870775379883,3.7600470353106945,2.3422870775379883,1
27257,2.5,5,0.1633588821397639,2.436316414320337,0.1633588821397639,1
38145,2.5,4,0.033239297699382456,4.380349561834698,0.033239297699382456,1
26221,0.8,0,inf,1.7391438422256025,1.7391438422256025,0
20120,1.5,1,0.22011923727103055,3.394556726638992,0.22011923727103055,1
30732,2.0,4,0.22828378240086777,4.881539238836991,0.22828378240086777,1
10330,0.8,0,inf,3.941329692947077,3.941329692947077,0
14338,1.5,2,1.1852525563988285,2.158394983432135,1.1852525563988285,1
59233,1.5,4,0.23083901843479063,3.565622536520369,0.23083901843479063,1
48727,2.5,1,1.0463811291256258,0.9137634521022442,0.9137634521022442,0
49478,0.1,0,inf,1.71533587061535,1.71533587061535,0
11701,0.8,0,inf,3.2834577648354144,3.2834577648354144,0
6316,0.1,0,inf,2.760432896808718,2.760432896808718,0
38962,0.8,2,0.14591423369432518,3.321298025794947,0.14591423369432518,1
32296,1.5,1,0.8670094136943317,5.381796718845723,0.8670094136943317,1
17711,0.8,1,1.54622606366251,1.291309383386447,1.291309383386447,0
14208,0.8,1,0.5819205271642598,2.0300240536819723,0.5819205271642598,1
54582,1.5,0,inf,0.8204503655839687,0.8204503655839687,0
53054,1.5,1,0.9030299932759052,3.0952274689517325,0.9030299932759052,1
14406,2.5,4,0.04681852632461655,3.933526055030606,0.04681852632461655,1
27000,2.0,2,0.22894633379322793,4.3816117097002625,0.22894633379322793,1
24367,2.5,4,0.08815319472022505,4.401931866966079,0.08815319472022505,1
20458,0.1,0,inf,2.275567145585919,2.275567145585919,0
46180,0.8,0,inf,3.7346462280281982,3.7346462280281982,0
51897,1.5,2,0.06149808055904038,0.5233945252853278,0.06149808055904038,1
36814,0.1,0,inf,4.758974982078569,4.758974982078569,0
2391,2.5,4,0.18398284213747987,0.5709432023015211,0.18398284213747987,1
54278,0.1,0,inf,4.504268720375056,4.504268720375056,0
17245,0.8,0,inf,5.485394775078842,5.485394775078842,0
47732,2.5,2,0.03731527686714388,2.6096916030603636,0.03731527686714388,1
24735,0.1,0,inf,1.1338272008149284,1.1338272008149284,0
49636,0.8,1,0.60463813184695,2.808025224295751,0.60463813184695,1
1338,2.5,4,0.763280876901943,4.550153623286052,0.763280876901943,1
33986,1.5,2,0.5996052019405108,1.8114745961830157,0.5996052019405108,1
32112,0.1,0,inf,4.429648639322855,4.429648639322855,0
720,2.5,5,0.0400352066506932,4.518044551978618,0.0400352066506932,1
8544,0.1,0,inf,0.3055542693880803,0.3055542693880803,0
38917,0.8,1,1.844004448962289,0.2784504552930159,0.2784504552930159,0
1137,1.5,1,0.45805194755850487,4.431277657823077,0.45805194755850487,1
18394,1.5,2,1.737538211525979,1.8561074515478202,1.737538211525979,1
9257,0.1,0,inf,3.9289921182032614,3.9289921182032614,0
51709,2.5,3,1.1327495399990621,0.8825213173851745,0.8825213173851745,0
43975,2.0,0,inf,3.191649561842927,3.191649561842927,0
41749,2.5,6,0.09118084169902559,4.628401066687827,0.09118084169902559,1
5772,2.5,3,0.08975170836863373,5.4106276407297536,0.08975170836863373,1
15875,2.5,2,1.4253632830594056,2.7983199055876207,1.4253632830594056,1
18335,0.1,0,inf,1.4147357822469975,1.4147357822469975,0
40013,0.1,0,inf,5.424425233005925,5.424425233005925,0
35158,0.1,0,inf,2.063287891812196,2.063287891812196,0
33164,2.0,0,inf,1.0661328344823906,1.0661328344823906,0
57280,2.0,1,0.11713902511387753,1.4028856708463862,0.11713902511387753,1
41227,1.5,0,inf,4.309143514964883,4.309143514964883,0
58,2.0,3,0.012019279932444183,2.707401096931492,0.012019279932444183,1
30820,2.0,4,0.31079889521161613,2.099320470733591,0.31079889521161613,1
44256,2.5,1,2.4403259500402896,4.187956632366092,2.4403259500402896,1
25618,0.8,0,inf,5.048498861341409,5.048498861341409,0
31328,1.5,3,0.06042059377724779,1.6680741898791565,0.06042059377724779,1
2636,0.8,0,inf,1.1930223012706271,1.1930223012706271,0
53360,2.0,2,0.7641227128410066,5.384544304295576,0.7641227128410066,1
55624,1.5,4,0.24565337588583477,1.097296255304284,0.24565337588583477,1
32125,0.8,0,inf,1.2423969625010731,1.2423969625010731,0
43585,0.8,0,inf,1.5551433963119825,1.5551433963119825,0
54194,1.5,2,1.3805858493187577,1.3672906860588105,1.3672906860588105,0
47807,2.5,3,0.5424751033310888,2.3682311693885367,0.5424751033310888,1
42381,0.1,0,inf,4.305339449478065,4.305339449478065,0
24794,1.5,2,0.17062509118744176,1.1048573234284236,0.17062509118744176,1
1445,2.0,4,0.596049482166154,1.6949312299159522,0.596049482166154,1
6321,1.5,3,0.07150701583957719,4.372423032122041,0.07150701583957719,1
36915,1.5,1,0.3288531339431993,0.6031529200120819,0.3288531339431993,1
12179,0.8,0,inf,0.6432274330554156,0.6432274330554156,0
42476,2.5,4,0.12372320033224961,0.8381229262171566,0.12372320033224961,1
