eta,mi,S1
-0.059527427,1.6696552,0.7107284
-0.3616069,1.6682812,0.9594075
0.20931402,2.1977692,0.9715589
0.74961185,2.9694543,0.93066543
-1.2302804,0.003266338,0.011178026
-0.09753242,1.682585,0.7525138
0.3963447,1.0161321,0.6836281
-4.6524963,0.00012900741,0.013525962
1.4682195,5.0106325,0.9237899
-3.3227181,0.00932395,0.2586057
0.9755901,2.5937939,0.60081226
-2.5155287,0.07464949,0.9236493
-0.6851095,0.041688446,0.08270942
1.1204244,3.5312366,0.8255409
1.0389515,3.7675865,0.97924256
-0.41925812,1.2786318,0.4237524
1.3638544,4.3945503,0.86789614
0.31635758,2.3721209,1.0
-0.87964803,0.0050430503,0.01215401
1.5313659,5.5674343,0.98766243
1.0246735,0.37146145,0.13332258
0.51044923,2.2343824,0.74090827
0.7347709,0.06032139,0.028931066
0.86865836,3.2683887,0.9516209
-0.30766428,1.5822194,0.7919606
-4.3335705,0.00021160138,0.016127395
-3.4209695,0.002771924,0.08481828
1.1964036,4.112708,0.94090754
-4.711151,0.0016407864,0.18242274
0.31399027,0.4237537,0.30956316
0.19750756,0.4650424,0.38169467
-0.27833042,1.5311027,0.70154554
-0.18613212,1.416432,0.50162625
0.08554055,1.7588387,0.69662607
-4.7302103,0.00094150554,0.10669084
-2.9226665,0.0020867663,0.038794644
0.8217898,1.8700631,0.38251802
1.5213566,5.3397923,0.94787735
-0.52582884,1.3789613,0.64114976
-4.072835,0.004582147,0.26907837
-3.1312058,0.030870352,0.70697975
0.94166255,3.4910526,0.97145814
0.5728042,2.668964,0.94119847
0.18387675,0.03352336,0.02789272
0.9607698,0.14611758,0.055904336
-1.2010074,1.1027358,0.34143844
-0.7534501,0.18236876,0.38740897
1.0144584,2.7300017,0.6272965
-0.42123044,0.41246086,0.6285224
-0.0044932086,1.3502911,0.35186863
-3.207815,0.00042352424,0.010471637
0.7216177,2.6476848,0.80071795
-3.8540468,0.00034079186,0.016079795
0.0074947476,0.048913296,0.048548073
0.5677571,2.6070182,0.9108503
1.2307935,4.406341,0.99485844
0.6831778,2.3693392,0.6915295
1.70964,0.94522446,0.17102031
0.1182552,0.3714243,0.32999906
0.09868455,0.16674493,0.15107566
0.88891625,2.0123274,0.41616884
1.0632129,2.9804945,0.6839529
0.4789314,1.752548,0.46616215
1.0088356,2.5776167,0.5752674
0.7473308,0.2239918,0.10608903
1.217233,3.9688594,0.87892556
1.3630795,4.823229,0.9782558
0.3293917,2.1558313,0.83146036
0.28224954,2.2296484,0.9272599
-0.7491062,1.4465821,0.9445696
0.9245666,1.6064897,0.24059644
-0.50905037,0.05823849,0.09689199
-0.14163351,0.037298456,0.042973578
1.2631187,0.8872207,0.25088006
-2.1178885,0.0014884156,0.012374039
-1.9660833,0.023076238,0.1648254
0.1112124,1.8048266,0.72011757
0.6045289,0.026444348,0.014447386
1.5105507,0.8993976,0.19857652
1.2383652,3.3340225,0.6765344
0.52281785,0.7201351,0.42693043
-0.1391401,1.3859031,0.44351265
-0.4600187,1.4272135,0.6767505
-4.27742,9.999665e-05,0.0072051887
0.68290985,2.3654714,0.6897609
-0.04202848,0.8400946,0.876155
0.3696097,1.19499,0.8257429
1.0459743,3.5025098,0.8792553
-0.739709,0.04819073,0.100975275
-4.080538,0.0011054996,0.06542046
0.01733844,1.8867385,0.8714965
1.0830711,0.05437675,0.018409476
0.5426761,1.7778717,0.45209193
-1.0088048,0.10856428,0.29771817
0.68752265,2.77036,0.8901727
0.11214609,2.0790353,0.9645645
0.3945294,0.15686758,0.1057283
0.5586488,2.558926,0.8916767
0.4142637,2.1822944,0.78129166
-5.0239277,0.005457129,0.82952267
0.9744686,3.4388328,0.92039806
-4.868742,0.0005138661,0.06688331
0.02105134,1.3614495,0.35392004
1.6229622,5.0401106,0.7971678
0.7084683,2.2875605,0.6339919
1.1915326,3.0309703,0.61691815
-0.49872375,1.3816094,0.6283651
1.4468961,4.0125265,0.70884615
0.610346,0.14677097,0.07972054
1.1622773,3.5252643,0.7898347
0.36541998,2.3963673,0.9689466
-4.2991266,0.0048436,0.35666072
0.4014157,2.3223715,0.88515824
0.4517608,1.4670196,0.2972609
-0.17754565,0.012514396,0.014945725
0.56344193,1.708874,0.40352395
1.1020179,3.8676364,0.952629
0.708214,0.040879827,0.020134257
-0.3689196,0.075191095,0.108739205
-2.9026322,0.026035342,0.4744173
-3.7971096,0.0023856158,0.10633208
-2.9570048,0.04064496,0.78201956
0.18940195,2.109715,0.918238
-5.316164,0.0005027524,0.10236108
