eta,mi,S1
-0.9969845,0.0001085589,0.00029420515
0.10270795,1.9704771,0.87574923
0.22425695,0.823823,0.65832496
0.6335909,0.4632956,0.24586299
0.073745385,0.00067927374,0.0006309829
0.4645871,0.98298144,0.61770016
0.13914463,1.0819025,0.0712636
0.20930742,2.157466,0.9388738
-0.34727654,0.27874807,0.39448652
-2.337371,0.00012360411,0.0012797947
-3.0766926,1.006184e-05,0.00021820665
0.5631173,1.3818711,0.21744929
0.8107809,1.635615,0.28253773
1.2175586,2.9053168,0.56388205
-2.6543174,0.018113552,0.2574892
-0.7134262,0.0006798977,0.0013876522
-0.1702386,0.034060635,0.040381867
-0.24813622,0.042312715,0.054229435
0.20152898,0.022317303,0.018243946
0.003973067,1.9007823,0.89721054
-0.7676735,7.965725e-05,0.00017164125
1.0430449,3.7722604,0.9768894
0.4238535,2.0929708,0.7153711
0.30953902,1.2013505,0.14774793
-1.9943243,0.02345751,0.17234789
-0.12531722,1.7219085,0.818289
0.46457848,2.3763857,0.8649206
0.91793174,3.019928,0.8066464
-0.0357405,1.6241858,0.64689803
-0.08780203,1.5092828,0.5560208
-2.7189708,0.027714726,0.42028564
-1.0489836,0.026007269,0.0742442
0.6564203,2.718,0.8911349
0.73577875,0.05060141,0.024244765
-0.25243592,0.010581167,0.013619623
-2.9644513,0.013636733,0.2643353
0.9889407,3.2997773,0.8554493
0.9235153,0.0025554544,0.0010148234
0.28385517,1.2287527,0.92509794
-0.9493914,0.00029928,0.0007733804
0.9305042,3.4688182,0.9735903
0.17796879,2.0052724,0.8413815
-2.8016644,0.00084670953,0.013947032
0.37543368,0.0010426663,0.00071630266
0.2035501,1.1526163,0.124508806
0.20409042,0.14516896,0.11836912
-0.05514831,1.754206,0.79696745
0.66305983,2.2149339,0.6260218
0.09020325,1.9426322,0.8613259
0.54148567,0.0016471399,0.0009584429
0.01163733,0.0010660031,0.0010536696
-1.2365117,0.0019315028,0.006651285
-0.70159656,1.4742796,0.956608
-0.18272771,1.1729946,0.20767789
-0.0049166605,1.6223208,0.6253881
0.5573913,2.436283,0.8225611
-0.00059041753,0.32279545,0.3229861
-2.8982348,1.3288603e-05,0.00024108308
0.15841384,1.9311352,0.79472065
-0.7561185,0.00054124877,0.0011528559
0.1573277,2.1183085,0.9555098
0.79572546,2.48926,0.67203414
0.7103475,2.9405723,0.9537397
-0.46038175,0.39775392,0.6303122
-1.5358603,0.006477121,0.030088298
-0.16713879,1.7908294,0.93469584
-0.91178715,0.00089103816,0.0022175857
1.0583816,1.5428979,0.18839481
-0.7561294,0.0017630614,0.0037553485
-0.036672696,1.8013847,0.8313191
-1.4154536,0.028818747,0.1186858
-0.2834898,1.6960021,0.9241205
0.2706563,0.0001957023,0.00014929712
0.10032901,1.426151,0.38547057
0.242341,2.0998468,0.86314726
-0.65123165,1.4298487,0.8244074
-0.12279068,0.14301904,0.16170415
-0.30708858,1.428767,0.5828921
0.037451506,1.9263748,0.8923223
0.32668376,1.784569,0.56591886
0.76351184,2.037479,0.48349318
-0.2908996,0.1831752,0.2450207
0.26179758,1.3972708,0.30576617
0.7289523,2.9561434,0.9436713
1.2323858,4.1256995,0.91144174
0.63116276,2.7387395,0.92496216
0.720563,1.5395637,0.7489643
-0.16341624,1.817003,0.9620429
1.019238,3.402053,0.8668285
0.85743845,3.1330013,0.90492034
-1.5756835,0.004356854,0.021061227
0.56754065,2.2556112,0.71182853
-0.39746073,0.0034977344,0.005204773
0.1312438,0.84500486,0.74107254
0.49319297,2.2471108,0.7615775
-2.41818,0.0039381064,0.04420686
0.3863749,2.2166243,0.8267154
1.0016259,0.0017552661,0.00064467726
0.86315733,3.3191805,0.9782955
-1.6571579,0.0023412681,0.01227851
0.96142584,2.9581225,0.74868286
0.58417004,1.9539266,0.53187937
0.68952566,0.047786426,0.0239799
0.37528163,2.4127364,0.9706851
0.5194669,2.3450773,0.80010253
0.4257348,1.8389845,0.54809976
-0.20897996,1.4110698,0.5066107
0.13210687,1.9830885,0.8614286
-2.8834746,0.0016253364,0.029054966
-1.7105913,0.00011378557,0.00062948815
0.5410324,2.2690406,0.7387681
-1.396794,0.0040953956,0.016554488
0.7496253,2.5787406,0.7460236
1.0351119,2.6695936,0.9482039
0.2775788,2.1973267,0.9071137
0.92862684,2.8626556,0.7359275
1.1207381,1.8078096,0.26337746
-2.181576,0.003631881,0.032179408
0.17556575,1.2440037,0.20471476
-0.2119079,0.013036954,0.01611412
-0.7626081,0.05752583,0.12332734
