eta,mi,S1
-0.53472984,0.0478924,0.081751704
0.17479296,0.1533145,0.1287276
0.2809654,0.19262747,0.14544423
0.23415972,1.2776418,0.21968007
0.82753277,1.8364154,0.3656193
0.5103929,1.4849741,0.29111043
0.30828178,1.0304186,0.7570571
1.051214,3.7706697,0.9683856
-0.21356216,0.74435943,0.92157686
-0.3358152,0.06530492,0.09136685
-1.4399068,0.013110651,0.055330917
0.49809188,0.07170169,0.043572336
-0.5949586,0.06321541,0.114606746
0.40910137,1.26141,0.83788776
-1.3032737,0.013952243,0.05136279
0.23748189,2.2672749,0.9993872
-0.5411966,0.53165597,0.9134176
-1.371577,0.05429985,0.21402623
0.927167,2.728243,0.6838193
-1.8369305,0.010507976,0.0659611
0.22203036,2.2486093,1.0
0.8746581,2.5399237,0.6421551
1.5055153,4.649564,0.80984885
-2.8440204,0.0045748795,0.078618005
0.73603475,0.3036213,0.14543748
0.479821,2.3194442,0.81659627
0.19991979,2.0079048,0.82526886
-0.7847111,0.15817845,0.34669137
-4.543437,0.010050488,0.9448802
-0.57506794,0.022916825,0.04072896
-1.0993807,0.16026297,0.48115852
0.96529543,3.122539,0.80841285
0.19002923,0.09387332,0.07762713
-0.009283379,1.3910109,0.39465764
-0.2539286,0.11731436,0.15122758
-0.20632988,0.041979413,0.051599357
0.24646187,1.8321421,0.6503699
-0.5473201,0.02177481,0.037640247
0.9390047,2.4991715,0.58620125
0.29274482,1.0271418,0.76646614
0.5384454,2.477411,0.8622982
0.18133359,1.916156,0.76421803
0.4250694,0.66809386,0.4367493
1.0519283,3.5981758,0.90744835
-0.4037205,1.6104734,0.914114
0.4368524,1.9335783,0.60315394
1.1658384,3.1032534,0.65550274
-0.42398718,1.3294228,0.50337195
-0.7311452,0.0376976,0.0783152
0.32843798,1.4756719,0.3425064
0.28746,0.4543205,0.34081605
1.889637,6.233509,0.7909228
-0.5226689,1.4502425,0.75934434
0.6406911,2.856059,0.97800976
-3.23527,0.0025348102,0.06441772
0.2825483,1.2859263,0.9694088
-2.1584828,0.004221675,0.036551226
-0.6653911,0.045558847,0.0886234
0.88191295,0.09399785,0.03891419
0.6325715,2.7348213,0.9215787
-2.01324,0.0052345064,0.03919357
0.17322421,2.0663137,0.89671546
0.5424011,1.3988527,0.8132241
1.0203514,2.3908353,0.50135195
-2.275853,0.0045833443,0.044624448
-0.9467943,0.20977587,0.54068345
-0.32392213,0.033132534,0.04580704
-0.67323893,1.389067,0.7627959
0.10217938,0.10435334,0.09421724
-2.679742,0.04639736,0.6765353
-0.9266286,0.024061112,0.060777858
