eta,mi,S1
-2.1018715,0.05370017,0.4393462
0.21226804,0.021601144,0.01746988
0.7933939,2.9165933,0.86688876
-0.21565613,0.48900628,0.6066982
0.8518693,3.1893828,0.9340273
-1.3486959,0.00011094141,0.0004273905
0.35619247,0.8801861,0.6164276
0.09503572,1.2653899,0.24132986
-2.3693848,0.001331932,0.014239437
0.5035192,2.4371667,0.8686235
0.45178556,1.7350488,0.46785173
0.40505993,0.02448196,0.016327921
-2.842445,1.0402105,0.68991786
-0.34250137,1.5489103,0.7731216
0.4662832,1.1520747,0.09540096
-2.4914305,0.002997577,0.03620636
0.039684273,1.8019683,0.77076596
0.243867,1.7098867,0.55626136
0.661834,2.142567,0.5894552
0.37317586,1.5191051,0.35742676
0.7249736,1.6331016,0.30663472
-2.9652963,2.1519345e-06,4.17485e-05
0.5581742,0.00036412737,0.00020837295
-2.570377,2.4416697e-06,3.191446e-05
0.4734127,1.9432921,0.5875511
-1.4158443,7.2483667e-06,2.9863008e-05
0.84289515,3.2694905,0.9769305
0.11217176,0.001450443,0.0012965376
1.1521449,3.764175,0.87336415
-0.4575126,0.118062794,0.1865556
-0.06566321,0.859778,0.91812855
-0.19310822,1.7244785,0.8788026
0.7385932,2.910124,0.91262966
0.12396422,1.9244213,0.8166443
-0.089682,1.4000049,0.43753582
-0.5968179,1.9057341e-05,3.461442e-05
-2.3461459,0.0059474935,0.062122963
0.74360925,2.1008751,0.52335054
0.5172153,2.388743,0.8279385
0.29527846,0.009071347,0.0067520244
0.77182233,2.6589806,0.7667312
0.49292195,0.046718694,0.0285376
0.25762278,0.09865019,0.07624542
-0.21656588,1.6179123,0.7673265
0.333011,2.2514694,0.89700615
1.1976813,3.9686568,0.8962179
0.7211857,2.956811,0.9513535
-2.2613404,0.01906881,0.1829832
0.7759697,2.3480785,0.6204629
-2.939856,2.1778037e-06,4.118907e-05
0.62097687,0.00027452435,0.00014753467
0.16556552,0.00014063605,0.000119177006
0.5451395,2.6522622,0.95791703
-1.3865457,0.01719362,0.06879176
-2.6262755,2.6004138e-06,3.5943423e-05
0.033766907,1.9211254,0.89054126
0.34602728,1.500159,0.35385916
-2.8358107,0.029224057,0.498101
0.8814601,2.8564153,0.7688858
1.064535,1.0418324,0.014427526
0.3180008,1.8558214,0.62269753
0.11163795,0.0003137678,0.00028062388
0.79362476,2.385715,0.62662405
-0.40391442,1.4765521,0.7137206
-0.20496675,0.013772077,0.016905008
-0.17346108,1.2033298,0.24184345
0.036203623,0.00029263846,0.00028223338
-2.3005843,9.242131e-05,0.00092236575
0.20440717,0.014237352,0.011605298
-0.9166252,2.976102e-05,7.4427444e-05
0.7709428,2.1229696,0.5194596
-1.2225853,1.0856473,0.29085445
-0.16225216,0.000664579,0.0007816491
0.8344365,3.0334234,0.8827478
-2.9482887,1.0266877,0.50902396
0.053865947,4.6374756e-05,4.3942822e-05
0.44284248,2.327386,0.85245836
0.8301592,2.148727,0.50082177
-2.4675615,0.00043364908,0.0051143067
0.35638037,0.00012056181,8.4418134e-05
-0.44740334,0.00027460113,0.00042954346
0.31213695,1.4751014,0.3477178
0.5019884,1.3446044,0.20859796
0.442663,1.9192939,0.5904842
-0.30750275,0.0014492553,0.0019710227
-2.8316138,6.605268e-05,0.0011211009
0.41202605,0.21646428,0.1433658
-0.5594625,0.40830612,0.7144262
0.6062495,2.5073175,0.8220797
0.12225621,0.566424,0.5012409
0.18068717,1.9586562,0.800187
0.42413846,1.2611039,0.17084894
0.56393164,2.693343,0.9634574
-0.8384938,1.4012761,0.92810374
0.1848588,2.0313067,0.8572444
0.53862154,1.2517892,0.14693214
-2.2813218,0.00014747774,0.0014437498
0.44769856,1.0314026,0.020069283
-0.03001789,1.6407001,0.66022414
0.5493463,2.1788287,0.68056977
-2.6010375,0.04669564,0.6293504
0.3189495,1.5036168,0.3660853
0.2904519,2.2071722,0.9028748
0.60760903,2.4183755,0.7725203
0.9151675,3.2707813,0.9093333
0.29507637,1.3161601,0.23537318
-1.7804772,0.14617004,0.86718094
-0.06831989,1.8475242,0.9074507
-0.59184873,0.07352215,0.13287854
-0.04480378,1.7793595,0.81507176
0.15055642,0.06820468,0.058671657
-1.0903738,0.16224183,0.48273206
0.8023226,2.8576145,0.8327436
0.093242556,2.0578933,0.96371174
-0.51691663,0.0001046728,0.00017552052
0.78031415,2.7528803,0.80327845
0.22607836,2.1569662,0.92286044
-1.5821832,1.1482462,0.7213018
-1.778163,1.0457503,0.27079487
0.61604196,2.182002,0.6383731
0.5850092,2.5059764,0.8389806
0.43250397,0.001085668,0.00070447073
-2.155711,0.0016107109,0.01390692
-0.10906548,0.0022254032,0.0024818485
0.24409105,2.0103707,0.79154086
0.7937662,1.1827551,0.5347694
0.1278616,0.0009455308,0.0008320436
-0.13149433,1.6206582,0.7078802
-0.60963756,2.5819296e-05,4.750142e-05
0.58677405,2.7079246,0.9498083
-2.0640953,0.0001191801,0.0009389208
-1.1538811,0.057455964,0.18216264
-2.0352964,9.292946e-05,0.00071133045
0.79718965,2.7537754,0.79023975
0.1627458,1.211579,0.17980129
0.53685254,2.5342104,0.89687693
0.8518598,1.9380443,0.4001892
0.518785,1.560727,0.33376902
-0.34447405,0.027019339,0.038130973
-0.07422294,5.6689525e-05,6.1057275e-05
-0.73109055,0.06629901,0.13772589
-3.1245346,1.0418402,0.95183504
-0.6707444,0.036683336,0.07174133
0.7190625,1.1783594,0.08689826
0.004251767,1.9539158,0.9498687
-0.2159926,1.3211398,0.3985645
-1.75098,0.10442297,0.6015019
-2.0456517,0.00025257707,0.0019534808
0.1928915,0.004260453,0.0035130477
0.6821802,1.9177855,0.9694668
-0.5934389,0.082422845,0.14920208
0.82053715,3.0374916,0.8968939
0.7248297,2.8792639,0.9103286
0.41744426,2.0149412,0.66857034
-0.3208995,1.2074858,0.28599152
0.72725296,0.001976045,0.0009548934
-0.8392379,1.2139671,0.49524876
0.9689818,3.1737325,0.82486457
-1.3219392,0.015450338,0.05794939
0.6641988,0.0068307025,0.0035156652
-0.12704371,1.2917556,0.33127874
1.0299219,0.09387598,0.033516996
0.4078078,1.0938126,0.062395364
0.93517375,3.0201805,0.7929565
-0.14551812,1.358442,0.41458783
-0.13343486,0.00013220665,0.00015107873
-0.14422333,1.3009099,0.34759367
0.17913374,0.7378298,0.61682135
0.62955517,2.488997,0.79338044
-1.5995572,0.081892,0.40543416
0.4777038,2.0064778,0.6242235
