eta,mi,S1
-0.18526395,0.3376909,0.40642315
-0.036471315,0.12626499,0.13095506
-0.010339394,0.0003133633,0.0003166201
-0.15571797,1.4470189,0.52234006
-0.06573882,1.6456453,0.6895154
-0.028099317,1.1520759,0.15640968
-0.2303714,0.011891546,0.014972259
-0.028282747,1.6972339,0.71723515
-0.034191452,9.359965e-05,9.68553e-05
-0.26561338,0.00022834893,0.00029781967
-0.10190748,0.037098996,0.041079015
-0.05409683,1.2135035,0.22537142
-0.065595016,0.25595477,0.273307
-0.27587098,0.011824489,0.0155808665
-0.24359158,1.5849998,0.74635625
-0.034979872,1.878492,0.9097653
-0.06740783,1.2256856,0.24142306
-0.14704484,1.5934734,0.6874831
-0.16509758,0.61671907,0.7274252
-0.36308593,0.042285323,0.06079612
-0.18192117,0.00051999127,0.00062373973
-0.17546664,0.020637482,0.024595797
-0.23295486,0.18027909,0.2275707
-0.15329348,0.6708359,0.78197134
-0.19719754,1.7179372,0.8744364
-0.11032911,0.018555373,0.020719772
-0.07638416,0.001421476,0.0015343088
-0.10931482,0.09771381,0.10900107
-0.068876565,1.328366,0.35177976
-0.18952498,1.7440641,0.899332
-0.055107925,1.9366739,0.98974085
-0.03494021,0.37494278,0.38827494
-0.17038037,1.8347305,0.98978657
-0.06754379,1.6201192,0.6634514
-0.15293747,1.8417933,0.9809015
-0.03480114,1.6616983,0.6851316
0.024220325,0.33859333,0.330491
-0.20518656,1.5369207,0.65920657
-0.03608547,1.6609317,0.68521726
-0.13552545,1.6415939,0.73471385
-0.07904129,1.366868,0.39704263
-0.19700855,1.3783114,0.46069032
-0.088839695,1.3105406,0.3393915
-0.14656447,1.7190671,0.83257145
-0.09128551,1.7231703,0.7922921
-0.14401035,0.005716844,0.0066023604
-0.19775021,1.6872014,0.83746344
-0.08517325,0.011720073,0.012762054
-0.087608546,0.19420232,0.21198364
-0.30918634,0.00333748,0.004546703
-0.014225185,0.00018270398,0.00018532155
-0.16768591,0.062379632,0.073767975
-0.21875234,0.14302993,0.17800403
-0.1559174,0.59111404,0.6908525
-0.19640914,0.20187873,0.24569139
-0.035591505,1.844548,0.875148
-0.08848986,1.5336969,0.58307624
-0.28652626,0.282953,0.37683487
0.0035413727,1.6543739,0.65206057
-0.19384904,1.7607279,0.9234576
-0.097237945,1.8128339,0.8958426
-0.046155334,1.5691252,0.596009
-0.033254545,0.00544512,0.0056292396
-0.118931904,1.2350409,0.264725
-0.025398336,1.888104,0.91094923
-0.29347086,0.0044743926,0.006000492
-0.026929948,1.0122982,0.012633971
-0.31640318,1.5396094,0.74044305
-0.095825896,0.7859025,0.8649387
-0.21305814,1.7384529,0.9138034
-0.100824654,1.6693163,0.74031913
