eta,mi,S1
-0.08492414,0.00027871542,0.0003034192
0.044692826,0.0050665345,0.0048450823
-0.13860513,1.7458154,0.8566961
-0.15424806,0.26307103,0.30694607
-0.01600489,0.00851432,0.008651687
0.058436204,0.0016571386,0.0015630767
-0.19577342,1.4301282,0.52314407
-0.29217333,0.056274377,0.07537025
0.029436555,1.88329,0.8576679
-0.17813845,1.2224363,0.2658093
-0.2299079,0.25648686,0.32278463
-0.037755914,1.6877367,0.71419936
-0.3053853,0.0053092316,0.007205412
-0.112391,1.7361741,0.8237423
-0.42059797,1.5859576,0.89233845
-0.03746951,1.3369846,0.34985083
-0.24638996,0.014080186,0.018014167
0.015794363,1.2559656,0.25195456
-0.061219078,0.16058215,0.17072
-0.10654712,1.8790781,0.9779133
-0.14155628,0.014711494,0.016948601
-0.013124019,1.3941505,0.39935747
-0.18353842,0.049340356,0.05928052
-0.11271009,1.8901366,0.9963365
-0.07596833,0.8030339,0.8664161
-0.06664098,1.9282141,0.992179
-0.22478008,0.35335335,0.44241518
-0.24966606,1.7506411,0.9635206
-0.019927226,0.0081224395,0.00828592
-0.11766899,0.08401085,0.09450142
-0.22068532,1.6378882,0.7954025
0.0031633172,1.4118991,0.41059822
-0.26444912,1.3943107,0.5136738
-0.0800121,0.004846985,0.00525074
-0.06710455,1.8451223,0.90378
-0.052309234,1.7317677,0.77106476
-0.11191537,1.5748482,0.6429206
-0.13896595,1.7121437,0.8183136
-0.103449844,0.03593974,0.03985682
-0.14274822,0.00077871385,0.0008981993
-0.028585996,1.4713988,0.48506865
-0.075248346,1.3593584,0.387443
-0.1220326,1.5171424,0.5842628
-0.061907507,1.7828135,0.8328072
-0.27389807,1.653051,0.8588149
-0.012221759,0.00094176864,0.0009533493
-0.12197277,0.048174903,0.054424316
0.08863847,0.0031755485,0.0029061872
-0.31959105,1.6716537,0.9245748
-0.25587654,1.4469308,0.57725275
0.004572399,1.9746058,0.97015965
-0.19624972,0.30370122,0.36955297
-0.06770519,0.17983352,0.19243082
-0.114380755,0.0108765345,0.012194541
-0.0042489544,1.8892808,0.8930673
-0.1614482,0.0006652813,0.0007818463
-0.1450972,1.5172002,0.59796214
-0.12067299,1.6766431,0.76342666
-0.052176088,0.0017316215,0.0018243693
-0.078565784,1.6825285,0.73831457
-0.109222256,0.4392853,0.48998335
-0.16979839,1.8192593,0.9708763
-0.014734846,1.8343866,0.8467722
-0.22950806,1.6327703,0.79601294
-0.19502366,1.7653778,0.93019396
-0.054574735,1.6715704,0.7092398
-0.38716662,1.3061137,0.4508449
-0.15496126,1.0127025,0.014831572
-0.20448191,1.2912824,0.3573712
-0.28613943,0.00029160152,0.00038820272
-0.2918729,1.0525889,0.07041313
-0.18513504,0.00034635147,0.0004167928
-0.040620852,0.0117199775,0.012205856
-0.10155763,1.9034292,1.0
-0.041011512,1.4696574,0.4893192
-0.15481335,1.8539896,0.99698156
-0.22170904,1.7218015,0.9009585
0.014950309,0.20682703,0.20375791
-0.15614721,1.4414924,0.5161039
-0.113933705,1.19221,0.2154055
-0.43980765,1.0980251,0.15217493
-0.35293156,1.529549,0.753672
-0.10652186,1.7134285,0.79361933
-0.20646764,1.4041889,0.4968806
-0.014173392,0.1263899,0.12819403
-0.06252751,1.68858,0.73300976
-0.23171042,1.2512196,0.3167263
-0.09493735,0.47438395,0.52162784
-0.15630777,1.6733056,0.78721946
-0.18729764,1.6148432,0.74149245
-0.22620982,0.27122086,0.34006718
-0.107848965,1.7657337,0.8529351
-0.3030496,0.0019993768,0.0027071198
-0.07998532,0.00043514758,0.0004713828
-0.21472344,1.2993035,0.37099236
-0.45399305,0.0005343293,0.00084134785
-0.1525645,1.813215,0.94724727
-0.009184044,0.4715058,0.4758561
-0.18452862,0.0009865713,0.0011865014
-0.11733149,0.032893945,0.036988985
-0.17681885,0.2231204,0.2662752
-0.1138114,0.59449846,0.6661598
-0.459225,1.0034343,0.0054359017
-0.019418746,1.9722816,0.9913466
-0.05488247,1.8944147,0.9448744
-0.09309386,0.80516154,0.88371694
-0.47961557,0.53871626,0.87027085
-0.026475538,1.8964043,0.920454
-0.01111266,1.9024067,0.91249067
-0.18163423,0.31194907,0.3740817
-0.32552332,1.099126,0.13726519
-0.12943518,0.28742012,0.32713738
-0.024706952,0.0024774934,0.002539467
-0.25016546,1.6956074,0.8933255
-0.1486087,1.1140218,0.1322902
-0.12221107,1.8089414,0.9140978
-0.041709684,1.3362476,0.35056892
-0.20680314,0.041044444,0.050474014
