eta,mi,S1
-1.6264335,0.15710576,0.79930866
-4.0874443,0.0057034907,0.33989388
-3.3105755,0.03029755,0.8302313
-2.3858912,0.035829026,0.38963518
-1.9587773,0.052458525,0.37229443
-1.4746814,0.21760583,0.95096654
-0.93275523,0.037442543,0.09549896
-1.1101768,0.29437524,0.89371073
-1.4645798,1.229628,0.9835102
-0.57542515,0.54423034,0.96775514
-1.6395266,1.1756054,0.8960691
-2.70838,0.021106029,0.316839
-2.508154,0.0814184,1.0
-2.3562207,1.0535239,0.55937237
-0.087035835,0.8746031,0.95453346
-5.4541264,0.00058202137,0.13603543
-2.203501,0.017091058,0.15493241
-2.4145956,0.035548177,0.39782915
0.25790185,1.2234266,0.9459674
-0.4121616,0.16158019,0.24521834
-0.719894,0.431255,0.8863807
2.3409023,9.675874,0.93728197
-4.842474,1.0064372,0.80806017
-1.135152,0.011252622,0.035122756
-1.5908037,0.119193815,0.5854607
0.6786928,0.4664555,0.24016766
1.4131285,4.4792185,0.84377235
-0.9752907,0.2515735,0.66799253
0.5664581,0.34918907,0.2009661
-1.5036657,0.20160978,0.9070579
0.6551882,1.7158915,0.892975
-0.38330263,0.44019514,0.6473722
-1.9140812,0.13204244,0.89547896
-1.4019835,0.22087437,0.89769405
-0.6954304,1.3504597,0.69661856
-3.2478168,0.03511851,0.90377694
-0.725636,0.09842197,0.20412749
-3.482338,0.012209307,0.397312
-0.33980492,0.64020145,0.89991474
-2.9835725,0.03145568,0.62162906
-1.3408747,0.10418601,0.3988654
-1.2916671,0.12961955,0.4723498
0.55044067,0.96008116,0.55791897
-0.6354903,0.12328277,0.23369612
-0.9630238,0.36355156,0.95253426
-1.0422482,1.3185775,0.8947418
-2.8290968,0.012067055,0.20439321
-2.256268,0.005303649,0.050686367
-3.5414596,0.019023154,0.65669245
-2.8481882,0.04864863,0.8395825
-2.262318,1.1048356,0.997014
-1.7168279,0.15911378,0.8859427
-1.4542657,0.039457917,0.16926049
0.28681207,0.22890766,0.17372158
-3.3601792,0.00891056,0.25664005
-1.995159,0.02639205,0.19428319
0.80799747,3.2374842,0.98775464
-1.9098517,0.023521328,0.15901586
0.35814634,2.3901367,0.9625598
0.6874912,1.18481,0.6004985
-0.4439344,0.44211027,0.6905421
-4.409979,1.0108658,0.88506764
-2.0267768,0.093459025,0.70958656
-4.136787,0.003341921,0.20923522
-1.5308915,0.00896817,0.041539486
-0.49921542,1.6127081,0.99940205
-0.5469721,1.5590413,0.9567054
-2.931887,0.009242624,0.17349574
-3.691451,0.021880653,0.8775065
-1.195024,0.17593524,0.5819617
-1.8168653,1.1571356,0.9572778
-1.3920519,0.24238352,0.9751924
