eta,mi,S1
-2.9197087,0.002564484,0.05081838
-0.33871248,1.2628078,0.38061842
-2.4788718,0.048595738,0.59718496
-1.8253988,0.07999643,0.5133545
-2.730363,0.0052325046,0.08517009
-2.7302175,0.004402456,0.07182654
-1.8124611,0.14410822,0.89194596
-1.1636887,0.29330868,0.94456613
-0.25142592,1.1887354,0.2523368
-1.4264961,0.2099014,0.88390213
-0.01715841,1.7807816,0.8017994
-1.6003513,0.07981043,0.41044432
-2.389301,0.0907909,0.99106854
-1.3706784,0.18928726,0.7611051
-1.7405725,0.15468183,0.89106494
-1.1419482,0.11932596,0.3886228
-0.61500096,1.3100429,0.5865415
-1.912427,0.102209106,0.708279
-1.694135,0.018389046,0.10597194
-2.9742856,0.017509935,0.3561885
-0.8362452,0.16954385,0.40672407
-3.8493965,0.018708779,0.8879881
-3.8395133,0.0028470221,0.13943933
-1.4335139,0.20531082,0.8715207
-2.9590092,0.0025890789,0.053323932
-1.7082758,0.16144578,0.89976656
-4.6227417,0.0023999354,0.25497633
-2.3484614,0.020163815,0.22098394
-0.6732745,0.4048617,0.80806017
-2.3797188,0.008050896,0.092203245
-2.9044375,0.03496528,0.6551802
-3.602508,0.005118864,0.19682685
-1.5726893,0.18491669,0.89991474
-1.2108741,0.21329044,0.7321886
0.48480377,1.9296131,0.58816653
-1.2704375,0.17697854,0.6479695
0.43357956,1.3191934,0.86746293
-1.9070805,0.023783337,0.16838212
-1.2897067,0.016541848,0.064141415
0.6125212,1.4838651,0.8199631
0.66538894,2.1492958,0.606901
-2.6191795,0.06991555,0.96325094
-1.5919912,0.017541694,0.091486454
-2.1417532,0.06585506,0.5784836
-5.1360955,0.0052411463,0.89976656
-1.6801324,0.16623059,0.9006562
-1.322072,0.046531778,0.18347615
-2.734642,0.016598599,0.26685268
-2.9870224,0.011775054,0.24394567
-2.1502104,0.10396822,0.9012498
-3.1799648,0.004680155,0.11882345
-1.6520662,0.111787386,0.6010526
-1.3331413,0.23162793,0.88813436
1.3316145,3.9158692,0.78355026
-2.4008923,0.0808888,0.900953
2.124837,9.405883,0.99510753
-1.9448054,0.10331566,0.738291
-4.252805,0.0127248475,0.90288424
1.2776561,3.9659173,0.83567345
2.877984,17.939663,0.95590466
-3.7921035,0.00854575,0.39319903
-1.0016642,0.051040363,0.14669535
-2.0374448,0.047707945,0.38012373
-1.0021952,0.29477575,0.8166534
0.1382184,1.2594075,0.23583363
-1.9616592,0.011626123,0.08775662
1.9190447,7.313817,0.9286763
1.6063194,6.0064893,0.9952266
-1.5286746,0.050354924,0.24299565
-0.42849278,0.6417112,0.98645574
-3.5098014,0.02051978,0.70242465
-0.68395686,0.3545072,0.71947074
-2.0455809,0.025045866,0.20306823
-3.950233,0.0030537203,0.16663909
-1.9227469,0.029188244,0.20923522
-2.463071,0.07455249,0.8849219
1.4315393,4.2105656,0.7816024
-2.5685208,0.06728327,0.8872571
-2.061642,0.093931004,0.75377065
1.3247204,4.5085297,0.93235475
-1.1249132,0.30171093,0.93543124
-1.7528216,0.1512018,0.8824474
-2.2605357,0.032754716,0.326886
-0.7064086,0.11991775,0.25464487
-1.5782046,0.12735306,0.6346626
1.9529984,7.742535,0.9547619
-1.9314469,0.14490008,0.99976075
-1.5497205,0.027767126,0.13799581
0.25661555,1.0367858,0.8171616
-1.7228642,0.13765885,0.7857474
-1.6443708,0.007502064,0.041701887
0.05798778,0.9888292,0.93944585
-3.5723543,0.024954531,0.89710283
-1.1315536,0.2532453,0.79955745
-2.9995275,0.028098764,0.58169335
-2.3957014,0.03529889,0.40199053
-1.4773952,0.0347841,0.16047028
-0.7663428,0.27270427,0.60522425
-4.787668,0.0039732032,0.49306646
-1.3506767,0.01312903,0.054233298
-1.520214,0.03120014,0.15036598
-2.9625335,0.004187406,0.08594912
0.6360444,2.6756034,0.889452
-2.731687,0.022701552,0.36226267
-1.6589279,0.0064286394,0.036330882
-1.2892355,0.15592116,0.5841124
-3.4184537,0.012351058,0.39115858
-1.8864121,0.018232733,0.12697321
-0.8993763,0.40521124,0.99641776
-1.7800633,0.018880822,0.11836065
2.4020085,10.805625,0.89828575
-0.9470899,0.2681695,0.708279
-1.365623,0.22919758,0.90631115
-2.6322336,0.06427544,0.9021409
1.6586063,5.144288,0.8035475
-1.783969,0.060172155,0.37229443
-0.073689766,0.80545425,0.87805265
-3.4114468,0.004568147,0.14574438
-3.3904443,0.02596805,0.7852586
-2.7721617,0.04267691,0.6988707
-2.842214,0.058066238,0.99641776
-2.6219587,0.002593405,0.038321014
0.39616877,2.335855,0.89991474
-3.6051326,0.015730439,0.5960845
-4.5442085,0.004471189,0.43575233
0.5214328,1.6784102,0.41744375
-4.0459547,0.0009927102,0.060494762
-2.27804,0.032700654,0.33202827
-1.7329154,0.014210091,0.08539196
0.20797504,1.2101729,0.9846873
1.4716628,4.3682394,0.7874605
-2.9800766,0.004483137,0.09353199
-1.6604714,0.17804262,0.94239044
-3.3789508,0.019628089,0.5933422
-4.247814,0.0016763712,0.12371266
-1.2025998,0.23046884,0.7823323
-3.9649777,0.0072368095,0.3957646
-0.47563305,0.55274844,0.89858174
-0.77582896,0.05355596,0.12323088
-3.6701508,0.0032888183,0.13603543
-1.5258938,0.1695715,0.79435045
-0.99025404,0.13846035,0.38761315
-1.2215579,0.058778044,0.20923522
-1.6283252,0.17280568,0.88989156
-0.6183275,0.53436476,0.9924922
-3.2616658,0.0042565656,0.117287904
-2.8401642,0.04058465,0.7108966
-0.20886156,0.46067733,0.58708274
-1.9989395,0.07866259,0.5982874
-3.641626,0.0151305245,0.5947117
-1.968732,0.112033494,0.8156377
-3.5508547,0.025410807,0.8942998
-3.3361712,0.031681117,0.8991739
-2.261447,0.026216313,0.2627197
-1.3512893,0.22815385,0.89062476
2.9321027,19.760035,0.99213606
-4.56237,0.0037476844,0.37277895
-1.5939168,0.015899908,0.08319917
-1.5875127,0.023744164,0.122750916
-2.4307013,0.0053084297,0.06430847
-3.318798,0.03209896,0.8956264
-3.150509,0.030934868,0.7379506
-1.7932526,0.015490155,0.09865545
-1.3109741,0.14438795,0.5535818
2.0946624,7.751056,0.845612
-3.9160337,0.0030816998,0.1625712
1.1230891,3.0798779,0.6927746
-0.9565996,1.1747063,0.46685234
-4.304254,0.009157186,0.6940536
-1.5109658,0.026770432,0.12813464
-2.1417618,0.06842749,0.6002217
-1.5005004,0.018448424,0.08787085
0.33556136,1.0815072,0.78991437
-2.495061,0.025808692,0.3256129
-2.692516,0.015332924,0.23675574
1.0270479,3.2068634,0.8008022
